dataset_url;licence_url;licence
http://open-data.europa.eu/open-data/data/dataset/0LDvG4Fbbla5XxcupPxxg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0O0nSOVemKuaHyvUOtbvQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0OaqpdzPyF5SOBehcQAFw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0ObGCD1KOMqCZn8lcDFw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0PsuI7UVSQECEgLkaylYTg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0Py6tHaZhhFfVBmoebGug;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0Q4QC8LjoQn5MYcpCkVg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0RB04Vj1Jh1zpuladZeCQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0RMgv6n26YlWA6Wu99FMw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0RtSfrWNgIte9bnVZUYK6A;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0SQzszO8IySYti6BTltQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0T2tmeTgFIGtlrGHJRiWmg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0T3HgwjrB0NbE03Hb9DA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0TGOjdEOpdQi5rpRrGMP4w;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0TMpSqWuC1WcbfHTOYG6g;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0U7xVVFDM1hNqZm2UGVA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0UbZtYofk7WPSzijDQSBQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0VKKH9T4Msda882yWm9O7Q;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0VSJ36wxUk9o0IbZVgVhEg;http://ec.europa.eu/geninfo/legal_notices_en.htm;Europa Legal Notice
http://open-data.europa.eu/open-data/data/dataset/0WAuTJ5iQcL3STyG29prRg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0WHnffTfD6KOao2B97m8Bw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
