Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
ALBERT,80,L'aménagement de la rue Marcel Vast,377161,40000,DEMILLY Stéphane,Assemblée nationale
ALBERT,80,L'aménagement du secteur des étangs du vélodrome (2ème tranche),333350,100000,-,Réserve ministérielle
ALBIAC,46,La construction de la nouvelle mairie,136226,10000,MARC François,Sénat
ALETTE,62,L'aménagement de la RD 151 de la traversée de Toutendal (tranche ferme),407233,8000,VANLERENBERGHE Jean-Marie,Sénat
ALGRANGE,57,L'aménagement d'un préau dans la cour de l'école Batzenthal,61298,4000,BRICQ Nicole,Sénat
ALINCOURT,8,La réhabilitation de l'assainissement de la salle communale et du logement,11184,5000,POLETTI Bérengère,Assemblée nationale
ALIXAN,26,"L'aménagement de la rue de la Tour Basse, de l'entrée de la place de la mairie et de la liaison sécurisée entre le centre historique et la place des écoles",294383,2500,THORAVAL Marie-Hélène,Assemblée nationale
ALIXAN,26,La restauration des remparts (programme 2012),297360,45000,HERVIAUX Odette,Sénat
ALLAINVILLE-AUX-BOIS,78,L'acquisition et l'installation de jeux pour enfants,15940,7970,LARCHER Gérard,Sénat
ALLAMPS,54,La réfection du Carré Militaire dans l'enceinte du cimetière,4400,2000,REINER Daniel,Sénat
ALLAN,26,La restructuration et l'extension du groupe scolaire (2ème et 3ème tranches),1024295,15000,REYNIER Franck,Assemblée nationale
ALLARMONT,88,La réfection des réseaux d'eau potable et d'eaux usées et de l'égout de la fontaine Mathieu,107862,10000,ACCOYER Bernard,Assemblée nationale
ALLASSAC,19,La réfection de la charpente et de la toiture du foyer culturel,141952,10000,HERVIAUX Odette,Sénat
ALLAUCH,13,La modernisation des moyens numériques dans les groupes scolaires,64329,32164,CARRERE Jean-Louis,Sénat
ALLEGRE-LES-FUMADES,30,L'aménagement d'une place et d'une aire pour le tri sélectif du village,73253,5000,FOURNIER Jean-Paul,Sénat
ALLEINS,13,L'installation d'une vidéo-surveillance au parking de la Vierge,12078,3000,REYNES Bernard,Assemblée nationale
ALLERIOT,71,L'assainissement du hameau de Montaguière,348078,5000,EMORINE Jean-Paul,Sénat
ALLERY,80,La construction d'une cantine au groupe scolaire,215859,10000,BIGNON Jérôme,Assemblée nationale
ALLEX,26,L'installation d'un sanitaire public,37992,6000,MARITON Hervé,Assemblée nationale
ALLIBAUDIERES,10,"L'aménagement de voirie et de trottoirs, route de Champigny",177800,6000,DHUICQ Nicolas,Assemblée nationale
ALLOGNY,18,"L'aménagement des routes d'Henrichemont et de Vierzon, de la rue du parc et d'une placette",176980,12000,FROMION Yves,Assemblée nationale
ALLONDANS,25,"La réfection et l'aménagement du local de stockage, rue des Combes",42200,10000,HERVIAUX Odette,Sénat
ALLONNES,49,La mise aux normes et la réhabilitation d'un bâtiment communal en maison des jeunes,335000,19400,TAUGOURDEAU Jean-Charles,Assemblée nationale
ALLONS,47,Le regroupement de la mairie et de l'agence postale,137955,13000,DIEFENBACHER Michel,Assemblée nationale
ALLONZIER-LA-CAILLE,74,L'aménagement d'une bibliothèque municipale,203479,50000,ACCOYER Bernard,Assemblée nationale
ALLOUAGNE,62,La rénovation et la mise aux normes de la salle des fêtes,85600,30000,-,Réserve ministérielle
ALLOUE,16,L'extension et la mise aux normes de la cuisine de la salle polyvalente,119244,10000,SUEUR Jean-Pierre,Sénat
ALLOUIS,18,"L'aménagement et l'équipement du local ""Café des Sports""",118951,8000,PILLET François,Sénat
ALMENECHES,61,La restauration de l'Abbatiale Sainte-Opportune (2ème tranche),221005,20000,BASSOT Sylvia,Assemblée nationale
ALSTING,57,L'aménagement d'un terrain de football synthétique,581612,6000,GROSDIDIER François,Sénat
ALUZE,71,La restauration du clocher,48000,9000,ANCIAUX Jean-Paul,Assemblée nationale
AMAGNE,8,L'édification d'un columbarium,6036,2000,POLETTI Bérengère,Assemblée nationale
AMAGNE,8,L'acquisition de panneaux de signalisation routière,1932,966,LAMENIE Marc,Sénat
AMAGNE,8,L'acquisition d'un ordinateur pour la mairie,897,448,LAMENIE Marc,Sénat
AMAGNEY,25,La construction d'un bâtiment mairie-salle socioculturelle et l'aménagement d'un espace public au centre du village,1260557,5000,GROSPERRIN Jacques,Assemblée nationale
AMANCE,54,"L'aménagement de la voirie et des réseaux divers, chemin des Vignes Leduc",149949,23000,HENART Laurent,Assemblée nationale
AMANCE,10,"L'aménagement de la voirie, rue Saint-Martin et chemin d'Unienville",19930,2500,ADNOT Philippe,Sénat
AMARENS,81,L'acquisition de matériel et de mobilier pour la salle de réunion du conseil municipal,10869,3000,VALAX Jacques,Assemblée nationale
AMAYE-SUR-ORNE,14,Des aménagements de sécurité dans le bourg,19059,1900,COUSIN Jean-Yves,Assemblée nationale
AMBAX,31,La réfection de la toiture de l'ancien presbytère,32248,10000,CHATILLON Alain,Sénat
AMBERRE,86,L'aménagement et la sécurisation de la rue de Rigny,109962,13000,CLAEYS Alain,Assemblée nationale
AMBERT,63,L'équipement en matériel de l'espace multi-activités (musique et danse),10241,5000,CHASSAIGNE André,Assemblée nationale
AMBIALET,81,L'acquisition d'une épareuse,25822,500,VALAX Jacques,Assemblée nationale
AMBLEON,1,La réfection des toitures de la chapelle et d'un local communal,8750,4300,BLANC Etienne,Assemblée nationale
AMBLEVILLE,16,L'aménagement de la place du Château,129909,2000,SUEUR Jean-Pierre,Sénat
AMBOISE,37,La construction d'une salle de quartier et d'un équipement sportif lié au boulodrome,202000,11500,HERVIAUX Odette,Sénat
AMBRIERES-LES-VALLEES,53,L'aménagement de la rue Notre-Dame,254389,50000,-,Réserve ministérielle
AMBRONAY,1,"La construction d'une école primaire et d'un restaurant scolaire au lieu-dit ""La Laupinière""",2502410,20000,CARRERE Jean-Louis,Sénat
AMECOURT,27,La mise aux normes de l'installation électrique de l'église Saint-Hilaire,17185,5000,BOURDIN Joël,Sénat
AMEUGNY,71,L'élaboration d'un Plan Local d'Urbanisme,23934,3000,EMORINE Jean-Paul,Sénat
AMFREVILLE,14,La construction de vestiaires et d'une tribune au complexe sportif,525000,20000,AMELINE Nicole,Assemblée nationale
AMFREVILLE-LA-CAMPAGNE,27,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,12083,2000,PONIATOWSKI Ladislas,Sénat
AMFREVILLE-SUR-ITON,27,"L'amélioration de l'éclairage public, rue des Bouvreuils",993,496,PONIATOWSKI Ladislas,Sénat
AMIRAT,6,L'installation d'un extracteur d'air et de chauffages à l'église Sainte-Anne,5599,2799,TABAROT Michèle,Assemblée nationale
AMPONVILLE,77,"La mise en conformité de l'éclairage de ""la petite ruelle""",4598,2299,JULIA Didier,Assemblée nationale
ANCEMONT,55,"L'aménagement d'une aire de jeux au lieu-dit ""La Ruelle""",39240,5000,NAMY Christian,Sénat
ANCERVILLER,54,La réfection de la toiture du bâtiment mairie-école et de la salle des Pompes,30404,4000,NACHBAR Philippe,Sénat
ANCEY,21,"La réfection de la voirie, rue de la Gare et ruelle des Coins",15060,7000,CARTRON Françoise,Sénat
ANCOURTEVILLE-SUR-HERICOURT,76,L'aménagement d'un plateau sportif et d'un espace de loisirs,45322,20000,-,Réserve ministérielle
ANCOURTEVILLE-SUR-HERICOURT,76,La réfection de la cour de l'école,11966,1500,REVET Charles,Sénat
ANCOURTEVILLE-SUR-HERICOURT,76,La restauration du beffroi de l'église et l'électrification de la cloche,13163,4000,REVET Charles,Sénat
ANCY-SUR-MOSELLE,57,La réfection du parvis de l'église,6975,2000,MASSON Jean-Louis,Sénat
ANDAINVILLE,80,"Le remplacement d'un poteau d'incendie, la remise en état des cloches de l'église et d'un terrain, l'amélioration de l'éclairage public et le désamiantage des bâtiments communaux",27838,7000,ACCOYER Bernard,Assemblée nationale
ANDANCETTE,26,L'extension et la requalification de l'école élémentaire et la réhabilitation de bâtiments en bibliothéque et salle de réunion,1343317,3000,THORAVAL Marie-Hélène,Assemblée nationale
ANDEL,22,La construction de vestiaires et d'un garage pour les services techniques,116750,10000,LE FUR Marc,Assemblée nationale
ANDILLY,95,La prolongation de la rue des Commailles,178528,40000,SCELLIER François,Assemblée nationale
ANDILLY,54,L'aménagement de la nouvelle mairie dans les locaux de l'école,79740,30000,-,Réserve ministérielle
ANDILLY,74,L'aménagement d'une station d'épuration pour le parc de loisirs des Moulins,51213,5000,HERISSON Pierre,Sénat
ANDLAU,67,"L'aménagement des places de la mairie, de l'école et de la rue du Docteur Stoltz",706953,2100,KELLER Fabienne,Sénat
ANDOINS,64,La restructuration de la voirie (programme 2012),89556,10000,BAYROU François,Assemblée nationale
ANDREZIEUX-BOUTHEON,42,L'acquisition d'une armoire sécurisée et d'une armoire anti-feu pour le pôle des solidarités des 4 Epis,3794,1500,MARC François,Sénat
ANDUZE,30,La mise aux normes de l'espace Marcel Pagnol,20450,7000,DUMAS William,Assemblée nationale
ANDUZE,30,La réfection du chemin Saint Hippolyte,16250,5000,FOURNIER Jean-Paul,Sénat
ANDUZE,30,L'acquisition d'un aspirateur écologique de voirie,14561,5000,MICHEL Jean-Pierre,Sénat
ANET,28,"L'acquisition de l'immeuble ""La Poste"" en vue d'y aménager un équipement touristique",360000,100000,ACCOYER Bernard,Assemblée nationale
ANGEAC-CHAMPAGNE,16,L'aménagement de la traversée de Roissac (1ère tranche),268285,12000,REYNAUD Marie-Line,Assemblée nationale
ANGECOURT,8,La réfection de la toiture de la salle Henri Philippe,4108,1000,LAMENIE Marc,Sénat
ANGEOT,90,La réhabilitation du bâtiment mairie-école,61854,10000,CHEVENEMENT Jean-Pierre,Sénat
ANGERS,49,La restructuration et l'extension des installations de la base d'aviron (tranche ferme),1215482,65211,RAOUL Daniel,Sénat
ANGERVILLE-L'ORCHER,76,L'installation d'un système de vidéo-surveillance sur le stade de football,4000,2000,REVET Charles,Sénat
ANGEVILLE,82,L'aménagement et l'embellissement du centre bourg,164874,5000,COLLIN Yvon,Sénat
ANGLARDS-DE-SAINT-FLOUR,15,L'édification d'un columbarium,3790,1500,MEZARD Jacques,Sénat
ANGLARDS-DE-SALERS,15,L'acquisition d'un véhicule utilitaire pour les services techniques,11706,3000,MEZARD Jacques,Sénat
ANGLEFORT,1,L'acquisition d'un camion pour les sapeurs pompiers,54350,9000,REINER Daniel,Sénat
ANGLES,85,La mise aux normes de sécurité et d'accessibilité du théâtre municipal et des travaux d'économies d'énergie,962013,15000,CAILLAUD Dominique,Assemblée nationale
