Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
LAXOU,54,L'aménagement du parc de l'Hôtel de ville,630000,20000,-,Réserve ministérielle
LAXOU,54,L'aménagement du site Pasteur en Maison de la vie associative et du temps libre (1ère et 2ème tranches),590000,20000,-,Réserve ministérielle
LAY,42,Le remplacement des fenêtres de la salle communale,23098,3000,MARC François,Sénat
LAY-SAINT-CHRISTOPHE,54,L'aménagement d'un terrain multisports,70000,7000,HENART Laurent,Assemblée nationale
LAY-SAINT-REMY,54,"L'enfouissement des réseaux secs, rue du Lavoir  (tranche conditionnelle n°4)",34267,15000,REINER Daniel,Sénat
LAZENAY,18,L'aménagement du centre bourg (tranche conditionnelle),93173,15000,POINTEREAU Rémy,Sénat
LE BARDON,45,L'informatisation des écoles maternelle et primaire,24181,10000,GROUARD Serge,Assemblée nationale
LE BEAGE,7,"L'aménagement de salles de pratique artistique, d'une cantine et d'une salle de restauration à l'école",304950,15000,RAOUL Daniel,Sénat
LE BEC-HELLOUIN,27,La pose de panneaux signalétiques,5363,2500,NICOLAS Jean-Pierre,Assemblée nationale
LE BEC-THOMAS,27,"Le remplacement de bornes incendie, rue de la Mairie et route des Paillards",3766,1883,BOURDIN Joël,Sénat
LE BEC-THOMAS,27,"Travaux d'éclairage public, rue de l'Eglise",11213,2500,PONIATOWSKI Ladislas,Sénat
LE BELIEU,25,La réfection de la façade du bâtiment Saint-Agnès,21628,3000,BINETRUY Jean-Marie,Assemblée nationale
LE BERSAC,5,La réfection de la voirie (programme 2012),21590,10795,MARTINEZ Henriette,Assemblée nationale
LE BIGNON-DU-MAINE,53,L'acquisition de matériel informatique,8771,2546,ZOCCHETTO François,Sénat
LE BIOT,74,L'aménagement d'un centre de loisirs à l'école primaire François Hugo,155083,10000,FRANCINA Marc,Assemblée nationale
LE BIZOT,25,"L'aménagement d'une mairie à l'étage du bâtiment situé 1, rue Maurice Vermot",71120,1800,HUMBERT Jean-François,Sénat
LE BLANC-MESNIL,93,L'acquisition d'instruments de musique et de matériel de sonorisation pour le Conservatoire,66500,33250,BUFFET Marie-George,Assemblée nationale
LE BOCASSE,76,"L'aménagement des VRD, divers travaux horticoles et l'acquisition d'équipements de cuisine pour la salle de restaurant",134518,50000,-,Réserve ministérielle
LE BOIS-ROBERT,76,Le remplacement de la chaudière de la mairie-école,8939,3000,TRASSY-PAILLOGUES Alfred,Assemblée nationale
LE BOSC-ROGER-EN-ROUMOIS,27,Travaux d'éclairage public à l'église et rue des Canadiens,8992,2000,PONIATOWSKI Ladislas,Sénat
LE BOUCHAUD,3,"La réfection des enduits, de la toiture (2ème partie) et des menuiseries extérieures du bâtiment scolaire",24027,1800,DERIOT Gérard,Sénat
LE BOULAY,37,La restauration des vitraux de l'église,5632,2000,LANCELIN Raymond,Assemblée nationale
LE BOURGET,93,La réfection de la voirie (programme 2011),208958,100000,LAGARDE Jean-Christophe,Assemblée nationale
LE BOURGET,93,La réfection de la voirie (programme 2012),373246,40000,CAPO-CANELLAS Vincent,Sénat
LE BOURGUET,83,La réhabilitation de l'ancienne mairie en logements (2ème tranche),154129,10000,TRUCY François,Sénat
LE BREIL-SUR-MERIZE,72,L'aménagement des abords de la salle polyvalente,141381,14832,CLEACH Marcel-Pierre,Sénat
LE BREUIL-EN-BESSIN,14,L'aménagement d'un tourne-à-gauche sur la RD 5 et la Voie communale n°1 au quartier de Goville,204652,10000,LEFRANC Jean-Marc,Assemblée nationale
LE BUISSON-DE-CADOUIN,24,La construction d'un pôle d'animation culturelle,662500,8000,RAOUL Daniel,Sénat
LE CAMBOUT,22,La réhabilitation de l'ancienne salle paroissiale en salle des associations et bibliothèque,183450,24000,LE FUR Marc,Assemblée nationale
LE CANNET,6,"La démolition des bâtiments situés 11 à 15, avenue Franklin Roosevelt et 347, avenue de Grasse dans le cadre de l'aménagement d'un éco-quartier",229726,50000,TABAROT Michèle,Assemblée nationale
LE CARLA-BAYLE,9,L'aménagement de l'entrée sud du village,149993,20000,FABIUS Laurent,Assemblée nationale
LE CARLA-BAYLE,9,L'acquisition d'une sculpture dans le cadre de l'aménagement de l'entrée sud du village,46600,20000,FABIUS Laurent,Assemblée nationale
LE CATEAU-CAMBRESIS,59,"La restauration du vitrail ""Joie"" du groupe scolaire Herbin",54620,10000,HERVIAUX Odette,Sénat
LE CATELIER,76,L'aménagement et la sécurisation du virage de Bellemare,36310,8000,ACCOYER Bernard,Assemblée nationale
LE CAYROL,12,L'aménagement des villages du Cayrol et d'Anglars (tranches 1 à 3),508329,17000,CENSI Yves,Assemblée nationale
LE CELLIER,44,"L'installation d'une micro station d'épuration et l'acquisition d'équipements sanitaires afin de desservir un terrain communal servant d'aire d'accueil pour des familles ""Rom""",68833,8000,RAOUL Daniel,Sénat
LE CERCUEIL,61,La restauration de la couverture de l'église,14214,1500,LENOIR Jean-Claude,Sénat
LE CERGNE,42,L'extension de l'école maternelle et primaire et la construction d'un restaurant scolaire (2ème tranche),606721,10000,CLEMENT Pascal,Assemblée nationale
LE CHALANGE,61,La viabilisation de parcelles de terrain,30800,7000,DENIAUD Yves,Assemblée nationale
LE CHALON,26,L'aménagement du préau de l'ancienne école,110933,4000,THORAVAL Marie-Hélène,Assemblée nationale
LE CHAMBON-SUR-LIGNON,43,L'aménagement d'un lieu de mémoire,859145,50000,-,Réserve ministérielle
LE CHARME,45,La réfection des enduits et des plâtres intérieurs de l'église,58816,10000,DOOR Jean-Pierre,Assemblée nationale
LE CHATEAU-D'OLERON,17,La création d'une maison de loisirs à la Chevalerie,357674,70000,-,Réserve ministérielle
LE CHATEL,73,La construction d'une station d'épuration et des travaux d'assainissement (1ère tranche conditionnelle),346056,10500,RAOUL Daniel,Sénat
LE CHATELARD,23,La réfection du chemin de la Côte,6055,2000,-,Réserve ministérielle
LE CHATELARD,73,L'acquisition de mobilier pour la mairie,22324,10000,RAOUL Daniel,Sénat
LE CHATELET-EN-BERRY,18,La réfection de la toiture du bâtiment communal abritant une boucherie,17680,8840,PILLET François,Sénat
LE CHATELET-EN-BRIE,77,La construction d'un complexe d'arts martiaux et d'expression corporelle au stade Gérard Foucher,1000496,11300,JEGO Yves,Assemblée nationale
LE CHAUTAY,18,La construction d'un restaurant scolaire et l'acquisition de mobilier,89828,15000,-,Réserve ministérielle
LE CLERJUS,88,L'aménagement d'un espace cinéraire,12542,6000,PIERRE Jackie,Sénat
LE COTEAU,42,La réhabilitation de la salle des fêtes,3484723,10000,MARC François,Sénat
LE CRESTET,7,La réfection de la toiture de l'Eglise,28088,8000,RAOUL Daniel,Sénat
LE CROISIC,44,"La réhabilitation de l'ancien presbytère, rue de la Duchesse Anne",394389,10000,-,Réserve ministérielle
LE DELUGE,60,Le renouvellement du matériel informatique de la mairie,4353,2000,MANCEL Jean-François,Assemblée nationale
LE DESCHAUX,39,"L'aménagement d'une micro-crèche dans le bâtiment ""Atelier""",188198,10000,BARBIER Gilbert,Sénat
LE DONJON,3,L'acquisition d'illuminations de Noël pour le bourg,4102,1000,CHAMBEFORT Guy,Assemblée nationale
LE DONZEIL,23,La réfection de la toiture de la mairie et de l'ancienne poste,20345,10000,CARTRON Françoise,Sénat
LE DOULIEU,59,L'acquisition de matériel informatique pour l'école Marguerite Yourcenar,13296,6647,HOSTALIER Françoise,Assemblée nationale
LE FAOU,29,La construction d'un espace de rencontres culturelles et de loisirs,2270700,35000,MARC François,Sénat
LE FAOUET,56,La construction d'un nouveau centre d'incendie et de secours,1178927,30000,LE NAY Jacques,Assemblée nationale
LE FAU,15,La restauration du château d'eau,10964,5000,ACCOYER Bernard,Assemblée nationale
LE FAVRIL,28,La réfection du mur du cimetière,12801,3600,ACCOYER Bernard,Assemblée nationale
LE FERRE,35,"La mise en accessibilité de la mairie, de l'église et du cimetière",121672,12500,LE MENN Jacky,Sénat
LE FIDELAIRE,27,L'acquisition de divers équipements pour le terrain de football,9454,4000,NICOLAS Jean-Pierre,Assemblée nationale
LE FIDELAIRE,27,Travaux de mise en conformité électrique de la mairie et divers bâtiments communaux,3531,1765,BOURDIN Joël,Sénat
LE FIDELAIRE,27,"Travaux d'éclairage public, rue des Ratours",2012,1000,PONIATOWSKI Ladislas,Sénat
LE FOEIL,22,La réhabilitation et l'extension d'un ancien commerce en locaux scolaires et accueil périscolaire,938245,25000,ACCOYER Bernard,Assemblée nationale
LE FOSSAT,9,L'extension de l'école communale (2ème tranche),402600,10000,NAYROU Henri,Assemblée nationale
LE FOSSE,76,Travaux d'isolation dans l'ancien presbytère et dans l'école,20234,4000,HUREL Sandrine,Assemblée nationale
LE FOSSE,76,La restauration de la sacristie de l'église,13176,5500,LEJEUNE Michel,Assemblée nationale
LE FRANCOIS,972,"L'étanchéité de la toiture de l'école primaire, quartier Chopotte-Bonny",55316,27658,ASSOULINE David,Sénat
LE FRANCOIS,972,La réfection partielle de la toiture de la tribune sud du complexe sportif,60000,30000,ASSOULINE David,Sénat
LE FRANCOIS,972,"La réfection de la voirie, quartier Dumaine",92691,46345,ASSOULINE David,Sénat
LE FRESNE-SUR-LOIRE,44,L'extension et l'aménagement de l'école publique Le Petit Prince,767545,20000,TRILLARD André,Sénat
LE FRESTOY-VAUX,60,L'acquisition d'une tondeuse autoportée,20579,10289,DASSAULT Olivier,Assemblée nationale
LE GARN,30,"L'extension du réseau d'assainissement des eaux usées au quartier ""Les Bourgades""",130000,5000,LAURENT-PERRIGOT Françoise,Sénat
LE GAST,14,La reconstruction des sanitaires de la salle communale,34891,3500,COUSIN Jean-Yves,Assemblée nationale
LE GAULT-DU-PERCHE,41,L'installation d'une haie et d'une clôture aux abords du stade de football,4323,1000,GOURAULT Jacqueline,Sénat
LE GAULT-SAINT-DENIS,28,La construction de vestiaires au stade de football,157270,5000,CORNU Gérard,Sénat
LE GENEST-SAINT-ISLE,53,La construction d'une maison de santé pluridisciplinaire,640266,7500,ARTHUIS Jean,Sénat
LE GOURAY,22,La rénovation et l'extension d'un bâtiment communal en Maison des assistantes maternelles et logements,329710,15000,LE MENN Jacky,Sénat
LE GRAND-BORNAND,74,La réhabilitation de l'Auberge Nordique,747177,20000,HERISSON Pierre,Sénat
LE GRAND-LEMPS,38,La construction d'une caserne de gendarmerie,3295000,10000,SAUGEY Bernard,Sénat
LE GRAND-SERRE,26,L'aménagement d'un passage à gué sur la voie communale n° 5,100840,4000,THORAVAL Marie-Hélène,Assemblée nationale
LE GRATTERIS,25,"Aménagements de sécurité sur la RD 221 dite ""Grande rue""",36365,4000,GROSPERRIN Jacques,Assemblée nationale
LE GRAU-DU-ROI,30,Le réaménagement de l'avenue Jean Lasserre,2104683,60000,MOURRUT Etienne,Assemblée nationale
LE GUE-D'ALLERE,17,La restructuration et la réhabilitation de l'éclairage public et l'enfouissement des réseaux qui y sont liés,78475,5000,-,Réserve ministérielle
LE HAILLAN,33,L'installation d'une chaudière gaz et d'une sonorisation au gymnase de Bel Air,20907,10000,MICHEL Jean-Pierre,Sénat
LE HAM,53,La réhabilitation d'une ancienne étable en salle d'expositions multi-activités,66557,7500,ARTHUIS Jean,Sénat
LE HAUT-CORLAY,22,"La construction du lotissement ""Résidence des vergers"" dans le bourg",533032,11000,LE FUR Marc,Assemblée nationale
LE HAVRE,76,L'équipement numérique des écoles maternelles et primaires,61863,25000,GELARD Patrice,Sénat
LE HAVRE,76,"L'aménagement d'un espace polyvalent dans les ""Jardins Suspendus""",80500,20000,GELARD Patrice,Sénat
LE HOULME,76,La construction d'un groupe scolaire,3259848,10000,FOUCAUD Thierry,Sénat
LE JUCH,29,L'aménagement d'une aire de jeux sur le parking du terrain de football,29296,2500,LE LOCH Annick,Assemblée nationale
LE LANDREAU,44,"L'extension et l'aménagement de la bibliothèque municipale ""Comme un roman""",282537,20000,POIGNANT Serge,Assemblée nationale
LE L'HABIT,27,"Travaux d'assainissement en traverse sur la voie communale n°96 dite ""rue des Champs-Elysées""",150014,10000,BOURDIN Joël,Sénat
LE LINDOIS,16,L'extension du cimetière,48444,3000,PINVILLE Martine,Assemblée nationale
LE LONZAC,19,La rénovation de l'ancien logement de la poste,25856,5000,LE MENN Jacky,Sénat
LE LORRAIN,972,La réfection et l'équipement des aires de jeux des écoles,130000,25000,RAOUL Daniel,Sénat
LE LUART,72,La construction d'un dortoir à l'école maternelle et d'un local pour l'accueil périscolaire,195500,30000,du LUART Roland,Sénat
LE LUART,72,L'aménagement d'un giratoire au carrefour des routes départementales n°85 et 85bis,79737,20000,du LUART Roland,Sénat
LE MAS D'ARTIGES,23,L'édification d'un columbarium dans le cimetière communal,4200,2000,-,Réserve ministérielle
LE MAS-DE-TENCE,43,La rénovation extérieure de l'ancienne école,18838,6000,-,Réserve ministérielle
LE MAYET-DE-MONTAGNE,3,La mise en place d'un réseau d'assainissement collectif au hameau de Fumouse,146900,5000,CHARASSE Gérard,Assemblée nationale
LE MAZIS,80,La réfection du mur de soutènement des marches d'accès au cimetière,3302,1000,BIGNON Jérôme,Assemblée nationale
LE MEE,28,"Le renforcement du réseau d'eau potable sur la D8, du n°1 rue de Meung au n°3 à Belle Lune",34195,5000,VIGIER Philippe,Assemblée nationale
LE MEE,28,La restructuration et l'aménagement de la cuisine de la salle polyvalente,24703,3419,BILLARD Joël,Sénat
LE MEIX,21,La réfection partielle du chemin de la Poterne (programme 2012),16800,2000,HOUPERT Alain,Sénat
LE MELE-SUR-SARTHE,61,L'acquisition de matériel et de mobilier pour l'espace intergénérationnel,24884,12000,DENIAUD Yves,Assemblée nationale
LE MENIL,88,L'aménagement de la RD 486 en traverse du village,1610000,39000,-,Réserve ministérielle
LE MENIL-BERARD,61,La réfection des façades de la mairie,24726,2000,-,Réserve ministérielle
LE MESNIL-AMEY,50,L'effacement des réseaux,17479,3500,GOSSELIN Philippe,Assemblée nationale
LE MESNIL-AUBRY,95,L'acquisition de tablettes numériques pour les classes primaires,10200,5000,CHARTIER Jérôme,Assemblée nationale
LE MESNIL-EURY,50,L'aménagement d'un parking,24501,10000,GOSSELIN Philippe,Assemblée nationale
LE MESNIL-FUGUET,27,La mise en éclairage du parking de la mairie,1498,749,PONIATOWSKI Ladislas,Sénat
LE MESNIL-GERMAIN,14,"La restauration de l'abri de la statue ""La Vierge""",5602,2000,LETEURTRE Claude,Assemblée nationale
LE MESNIL-GILBERT,50,La réhabilitation du bâtiment de la mairie en salle de convivialité,116229,10000,BAS Philippe,Sénat
LE MESNIL-GUILLAUME,14,L'aménagement d'un terrain multisports (programme 2011),77842,20000,-,Réserve ministérielle
LE MESNIL-ROBERT,14,L'extension de la salle polyvalente,89495,8950,COUSIN Jean-Yves,Assemblée nationale
LE MESNIL-SIMON,28,La construction d'un columbarium,12133,6066,-,Réserve ministérielle
LE MESNIL-SUR-BULLES,60,La mise aux normes de l'assainissement de la salle communale,6780,3390,DASSAULT Olivier,Assemblée nationale
LE MONT,88,L'acquisition d'une pilonneuse,1898,900,ACCOYER Bernard,Assemblée nationale
LE MONTEIL,15,La réhabilitation de l'ancienne école en salle socioculturelle (1ère tranche),133300,5000,MEZARD Jacques,Sénat
LE MONTELLIER,1,L'aménagement des abords de la salle polyvalente,25374,7000,REINER Daniel,Sénat
LE MONTET,3,"La réfection de la voirie, rues du Four et de la poste et la réfection du réseau d'assainissement, rue de la Poste",303815,7000,MALLOT Jean,Assemblée nationale
LE NARBIEF,25,L'aménagement d'une aire de stationnement de cars scolaires et la construction d'abribus,11090,5000,JEANNEROT Claude,Sénat
LE NOMDIEU,47,La restauration du lavoir du village,27206,5000,TANDONNET Henri,Sénat
LE NOYER-EN-OUCHE,27,Travaux d'éclairage public dans le bourg,2002,1000,PONIATOWSKI Ladislas,Sénat
LE PAS,53,La réfection de la couverture et le renforcement de la charpente du clocher de l'église,93305,10000,FAVENNEC Yannick,Assemblée nationale
LE PASSAGE,38,L'aménagement et la sécurisation de la traversée du village (2ème tranche) et la mise en accessibilité du bâtiment de la mairie,287977,40000,-,Réserve ministérielle
LE PASSAGE-D'AGEN,47,La construction de l'école élémentaire René Bétuing (2ème tranche),520000,11000,DIONIS du SEJOUR Jean,Assemblée nationale
LE PAVILLON-SAINTE-JULIE,10,"La réfection des façades de la mairie, des murs extérieurs de l'école et du mur du cimetière côté cour de la mairie",33360,4000,GAILLARD Yann,Sénat
LE PECHEREAU,36,"La réfection de la voirie et des trottoirs, place de Verdun, chemin des Grandes Chaumes et avenue du Vivier",49624,15000,FORISSIER Nicolas,Assemblée nationale
LE PECHEREAU,36,"La réfection des trottoirs, route d'Argenton",31700,8012,MAYET Jean-François,Sénat
LE PECQ,78,La rénovation des sanitaires de la salle des fêtes,49350,24675,GOURNAC Alain,Sénat
LE PEGUE,26,La restauration de la toiture de l'église,28216,5000,MARITON Hervé,Assemblée nationale
LE PELLERIN,44,"Le remplacement des fenêtres des logements de l'école de l'Hermitage et l'acquisition de mobilier pour le bâtiment  ""la Passerelle""",14550,7275,RAOUL Daniel,Sénat
LE PERCY,38,L'acquisition et la réhabilitation de la propriété Chavoutier située au centre du village (1ère tranche),225400,15000,DAVID Annie,Sénat
LE PERREUX-SUR-MARNE,94,L'installation d'un dispositif de vidéo-protection,240000,96000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,L'acquisition de matériel et de logiciels informatiques (programme 2012),130000,65000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,La mise aux normes de la cafétéria et de l'arrière du bar du Centre des Bords de Marne,100000,50000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,L'isolation des plafonds et l'installation de luminaires à l'école Jules Ferry et au Centre des Bords de Marne,400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,L'installation d'une clôture autour du stade Léo Lagrange,200000,100000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection et la mise en étanchéité des toitures de l'école maternelle De Lattre, du stand de tir du stade Chéron, du centre communal d'action sociale, du centre de PMI et du bâtiment du Saut du Loup",130000,65000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"L'isolation des fenêtres dans les écoles Jules Ferry, Clémenceau et Thillards",250000,125000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,La mise aux normes de l'ensemble du parc d'ascenseurs,300000,150000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,La réfection de l'escalier d'honneur et du parquet de la salle des mariages,270000,135000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,L'acquisition de mobilier urbain (programme 2012),130000,65000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection de l'éclairage public, rues de la Paix, du Pommier de l'Eglise, de Metz, rue Victor Recourat et avenue du général de Gaulle",220000,110000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,La réfection des cours des réseaux d'assainissement et le remplacement des grilles de l'école primaire Pierre Brossolette et de l'école maternelle des Thillards (2ème tranche),90000,45000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection de la voirie, l'aménagement d'une chicane sur les bords de Marne, quai d'Artois et le réaménagement du trottoir après enfouissement des réseaux, rue des Bords de Marne",240000,120000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection de la voirie, avenue Lamartine (programme 2012)",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection de la voirie, rue Claude Jean Romain",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"L'enfouissement des réseaux, la construction d'un réseau d'eaux pluviales et la réfection de la voirie, rue Pasteur",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"L'enfouissement de réseaux et la réfection de la voirie, avenue du Maréchal Joffre (programme 2012)",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"L'enfouissement des réseaux, la construction d'un réseau d'eaux pluviales, la réfection de la voirie et de l'éclairage public, rue Molière",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"La réfection des trottoirs, côté pair et l'enfouissement des réseaux, avenue Georges Clémenceau (programme 2012)",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"L'enfouissement des réseaux et la construction d'un carrefour surélevé, avenue du Maréchal Joffre au droit du Centre des Bords de Marne",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,Des plantations d'alignement (programme 2012),100000,50000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,"Le réaménagement d'un espace public, plages Cheron, sur le quai d'Arbois",400000,200000,CARREZ Gilles,Assemblée nationale
LE PERREUX-SUR-MARNE,94,La réhabilitation de la rue Denfert Rochereau,300000,150000,CARREZ Gilles,Assemblée nationale
LE PERRON,50,La réfection de la voirie des Landes Mabille (2ème tranche),12765,4000,GOSSELIN Philippe,Assemblée nationale
LE PERRON,50,"La réfection de la voirie ""Le Maizeray"" (programme 2012)",25344,8581,BIZET Jean,Sénat
LE PIAN-MEDOC,33,La construction du club house du tennis,333000,10000,DES ESGAULX Marie-Hélène,Sénat
LE PIN,44,L'aménagement du cimetière,18090,5000,GUERRIAU Joël,Sénat
LE PLANQUAY,27,L'installation du chauffage à l'église,16836,4000,BOURDIN Joël,Sénat
LE PLANQUAY,27,L'automatisation des cloches de l'église et l'installation d'une horloge extérieure,5872,2000,PONIATOWSKI Ladislas,Sénat
LE PLESSIER-SUR-BULLES,60,L'acquisition d'un tracteur et d'une saleuse,36120,10000,DASSAULT Olivier,Assemblée nationale
LE PLESSIS-DORIN,41,La restauration des peintures murales des Saints de l'église et du tableau du retable,33911,4000,REINER Daniel,Sénat
LE PLESSIS-FEU-AUSSOUX,77,L'extension du local de tennis,28042,14000,JACOB Christian,Assemblée nationale
LE PLESSIS-GRIMOULT,14,La réhabilitation d'un logement communal et l'assainissement collectif des logements et bâtiments communaux,39558,10000,GARREC René,Sénat
LE PLESSIS-GROHAN,27,Travaux d'éclairage public dans le bourg,2645,1300,PONIATOWSKI Ladislas,Sénat
LE PLESSIS-HEBERT,27,L'enfouissement des réseaux secs rue de la Louvetière (2ème tranche),46926,20000,-,Réserve ministérielle
LE PLESSIS-PLACY,77,La réhabilitation de l'ancienne station de pompage en local technique et la création d'un chemin d'accès,33931,15000,-,Réserve ministérielle
LE PLESSIS-ROBINSON,92,La construction d'une médiathèque,5420058,70000,-,Réserve ministérielle
LE PLESSIS-SAINTE-OPPORTUNE,27,"L'aménagement de l'éclairage public, rue des Bruyères Morin",1738,850,PONIATOWSKI Ladislas,Sénat
LE POIRE-SUR-VELLUIRE,85,La restauration de l'église,255758,20000,MERCERON Jean-Claude,Sénat
LE POIZAT,1,L'acquisition d'un défibrillateur cardiaque automatique,1500,750,GOY-CHAVENT Sylvie,Sénat
LE PONDY,18,"L'aménagement de fossés aux lieu-dits ""les Joncs, les Renardières, la Grenouille et les Loges""",5040,2520,POINTEREAU Rémy,Sénat
LE POULIGUEN,44,La construction d'une salle d'activités sportives et culturelles,1342307,30000,-,Réserve ministérielle
LE POUZIN,7,La rénovation du boulodrome,75338,5000,HERVIAUX Odette,Sénat
LE PRADET,83,L'aménagement du pôle associatif et sportif de La Bâtie,1451735,10000,TRUCY François,Sénat
LE PUID,88,L'aménagement du parking de la mairie,6180,3000,ACCOYER Bernard,Assemblée nationale
LE PUISET-DORE,49,"La construction d'un atelier municipal, zone UY",142943,10000,DE CHARETTE Hervé,Assemblée nationale
LE PUY-EN-VELAY,43,L'acquisition d'une balayeuse,116837,20000,ACCOYER Bernard,Assemblée nationale
LE PUY-EN-VELAY,43,Travaux relatifs à l'amélioration des déplacements dans le secteur historique et commercial de la vieille ville,278062,100000,ACCOYER Bernard,Assemblée nationale
LE PUY-EN-VELAY,43,"Travaux de sécurisation et l'aménagement de trottoirs, place du Breuil, aux abords de la préfecture",102895,50000,-,Réserve ministérielle
LE PUY-EN-VELAY,43,La rénovation de l'éclairage public des places du Breuil et Michelet,660000,40000,-,Réserve ministérielle
LE PUY-NOTRE-DAME,49,La restauration de la sacristie et la confortation des parements du pignon ouest de la Collégiale,36673,6000,BECHU Christophe,Sénat
LE QUESNOY-EN-ARTOIS,62,L'extension de la salle des fêtes,468289,2000,FASQUELLE Daniel,Assemblée nationale
LE RECULEY,14,"La restauration d'un mur, l'assainissement pluvial du cimetière et la réfection des joints à l'intérieur et dans l'entrée de l'église",23233,2323,COUSIN Jean-Yves,Assemblée nationale
LE RECULEY,14,La restauration intérieure de l'église,23194,5500,DUPONT Jean-Léonce,Sénat
LE REVEST-LES-EAUX,83,L'aménagement du centre du village,708396,10000,VITEL Philippe,Assemblée nationale
LE RHEU,35,L'extension et la rénovation des ateliers municipaux,616255,12000,ROGEMONT Marcel,Assemblée nationale
LE RIOLS,81,"La restauration du retable de l'église de ""Larroque""",8300,1000,VALAX Jacques,Assemblée nationale
LE ROCHEREAU,86,La construction d'un groupe scolaire,816200,25000,RAFFARIN Jean-Pierre,Sénat
LE ROUGET,15,L'aménagement de la place du Foirail,197542,15000,JARLIER Pierre,Sénat
LE ROUX,7,La réfection de la voie communale n° 2,11000,5500,ACCOYER Bernard,Assemblée nationale
LE SACQ,27,L'installation d'une alarme avec détecteur de fumée à la mairie,2367,1183,BOURDIN Joël,Sénat
LE SACQ,27,L'acquisition d'une lame de déneigement,2820,1400,MAUREY Hervé,Sénat
LE SACQ,27,L'acquisition de meubles de cuisine pour la salle d'activités,2440,1200,PONIATOWSKI Ladislas,Sénat
LE SAULCHOY,60,L'acquisition d'une balayeuse,9310,2600,DASSAULT Olivier,Assemblée nationale
LE SAULCY,88,L'acquisition d'une remorque,1172,500,ACCOYER Bernard,Assemblée nationale
LE SAUMONT,47,La réfection des murets de l'ancien cimetière et des bâtiments communaux (programme 2012),51541,5000,TANDONNET Henri,Sénat
LE SEGUR,81,La réfection de la salle du Temps Libre et de ses abords,22238,11000,REINER Daniel,Sénat
LE SOLER,66,La restructuration du centre-ville (3ème tranche),327346,50000,CALVET François,Assemblée nationale
LE SOLER,66,L'aménagement des vestiaires du nouveau stade,165940,5000,CALVET François,Sénat
LE TAILLAN-MEDOC,33,L'acquisition d'équipements informatiques audiovisuels et multimédia pour le pôle culturel,179928,12000,MICHEL Jean-Pierre,Sénat
LE TEIL,7,"La mise en valeur et en accessibilité de l'église Saint-Etienne de Mélas, la restauration des extérieurs et des fouilles archéologiques",240000,10000,HERVIAUX Odette,Sénat
LE TEILLEUL,50,La construction d'un espace cuisine-réchauffage pour la salle socioculturelle,100000,50000,-,Réserve ministérielle
LE TEMPLE-DE-BRETAGNE,44,La rénovation intérieure et la mise aux normes d'accessibilité de l'ancien restaurant scolaire en vue d'y aménager une Maison des associations,178350,70000,AYRAULT Jean-Marc,Assemblée nationale
LE TEMPLE-DE-BRETAGNE,44,La construction d'un préau au stade de football,11428,5000,AYRAULT Jean-Marc,Assemblée nationale
LE TEMPLE-DE-BRETAGNE,44,Le changement du système de chauffage des vestiaires de la salle des sports,9527,4633,AYRAULT Jean-Marc,Assemblée nationale
LE THEIL,50,L'aménagement d'une mairie dans l'ancien presbytère,189400,20000,JEANNEROT Claude,Sénat
LE THEILLEMENT,27,L'isolation du logement de l'école,7350,1500,PONIATOWSKI Ladislas,Sénat
LE THIL-EN-VEXIN,27,La restauration de l'église,37631,3000,GILARD Franck,Assemblée nationale
LE THIL-EN-VEXIN,27,Travaux d'isolation à l'école,12226,2000,MAUREY Hervé,Sénat
