Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
LA VILLETTE,"La viabilisation du lotissement des ""Forges""",256404,9000,COUSIN Jean-Yves,Assemblée nationale,"0,0351008565",14,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
LA WANTZENAU,La mise en place d'un site internet accessible aux personnes handicapées,3900,1300,KELLER Fabienne,Sénat,"0,3333333333",67,UMP,http://nossenateurs.fr/KELLER%20Fabienne/xml
LA WANTZENAU,La restructuration et la mise aux normes des vestiaires du stade municipal,272500,17000,RAOUL Daniel,Sénat,"0,0623853211",67,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
LAAS,L'aménagement de la traversée du village,117609,20000,0,Réserve ministérielle,"0,1700550128",64,,
LABARTHE,L'aménagement du bourg,93020,8000,BAREGES Brigitte,Assemblée nationale,"0,0860030101",82,UMP,http://2007.nosdeputes.fr/BAREGES%20Brigitte/xml
LABARTHE,La couverture partielle du boulodrome,42482,10000,COLLIN Yvon,Sénat,"0,2353938139",82,RDSE,http://nossenateurs.fr/COLLIN%20Yvon/xml
LABARTHE-BLEYS,La restauration du retable et du confessionnal de l'église,10210,1500,VALAX Jacques,Assemblée nationale,"0,1469147894",81,SRC,http://2007.nosdeputes.fr/VALAX%20Jacques/xml
LABARTHE-RIVIERE,La construction d'une salle de classe,220081,8000,CARRERE Jean-Louis,Sénat,"0,0363502529",31,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
LABASTIDE-CASTEL-AMOUROUX,"L'extension, la rénovation et la mise en conformité de l'école",259000,20000,ACCOYER Bernard,Assemblée nationale,"0,0772200772",47,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LABASTIDE-GABAUSSE,La mise en conformité de la salle communale Jacques Portes,99933,3000,VALAX Jacques,Assemblée nationale,"0,0300201135",81,SRC,http://2007.nosdeputes.fr/VALAX%20Jacques/xml
LABASTIDE-MARNHAC,La construction d'un cabinet médical,400465,12000,MARC François,Sénat,"0,0299651655",46,SOC,http://nossenateurs.fr/MARC%20François/xml
LABASTIDE-SAINT-PIERRE,L'aménagement des locaux de la mairie,1600510,15000,BAYLET Jean-Michel,Sénat,"0,0093720127",82,RDSE,http://nossenateurs.fr/BAYLET%20Jean-Michel/xml
LABATIE-D'ANDAURE,La réfection des façades de la mairie,17701,5000,DUSSOPT Olivier,Assemblée nationale,"0,282469917",7,SRC,http://2007.nosdeputes.fr/DUSSOPT%20Olivier/xml
LABATIE-D'ANDAURE,L'extension du cimetière,55383,10000,RAOUL Daniel,Sénat,"0,1805608219",7,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
LABATMALE,La réhabilitation de l'assainissement du presbytère et de la mairie,23408,4600,BAYROU François,Assemblée nationale,"0,1965140123",64,NI,http://2007.nosdeputes.fr/BAYROU%20François/xml
LABATUT,"La réhabilitation d'un logement social, le remplacement d'un volet à la mairie et l'aménagement d'une aire de jeux",26199,3800,MARC François,Sénat,"0,145043704",9,SOC,http://nossenateurs.fr/MARC%20François/xml
LABATUT-FIGUIERES,"L'aménagement d'un espace cinéraire, d'un ossuaire et d'un jardin du souvenir",4153,2000,BAYROU François,Assemblée nationale,"0,481579581",64,NI,http://2007.nosdeputes.fr/BAYROU%20François/xml
LABBEVILLE,L'aménagement de la sécurité routière,15671,7800,SUEUR Jean-Pierre,Sénat,"0,4977346691",95,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
LABEGUDE,L'acquisition de mobilier pour l'école élémentaire,25983,8000,FLORY Jean-Claude,Assemblée nationale,"0,3078936228",7,UMP,http://2007.nosdeputes.fr/FLORY%20Jean-Claude/xml
L'ABERGEMENT-CLEMENCIAT,L'aménagement des places publiques et la mise en sécurité des abords de l'école,20431,4000,VOISIN Michel,Assemblée nationale,"0,1957809211",1,UMP,http://2007.nosdeputes.fr/VOISIN%20Michel/xml
L'ABERGEMENT-CLEMENCIAT,L'acquisition d'ordinateurs portables pour l'école primaire,6162,2800,REINER Daniel,Sénat,"0,4543979228",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
L'ABERGEMENT-DE-VAREY,L'aménagement d'une place de stationnement afin de faciliter l'accès de la salle polyvalente aux personnes handicapées,656,328,CARRERE Jean-Louis,Sénat,"0,5",1,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
LABERGEMENT-LES-AUXONNE,L'isolation extérieure du pignon de l'école,4113,1200,DELATTE Rémi,Assemblée nationale,"0,291757841",21,UMP,http://2007.nosdeputes.fr/DELATTE%20Rémi/xml
LABERGEMENT-LES-AUXONNE,L'acquisition d'un tableau interactif pour l'école,2519,1200,HOUPERT Alain,Sénat,"0,4763795157",21,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
LABERGEMENT-LES-SEURRE,L'extension de l'école maternelle,157210,2226,HOUPERT Alain,Sénat,"0,0141594046",21,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
LABERLIERE,L'acquisition d'un tracteur-tondeuse,5652,2500,RAOUL Daniel,Sénat,"0,4423213022",60,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
LABESSETTE,L'aménagement du bâtiment communal,37464,8585,GISCARD d'ESTAING Louis,Assemblée nationale,"0,2291533205",63,UMP,http://2007.nosdeputes.fr/GISCARD%20d'ESTAING%20Louis/xml
LABETS-BISCAY,La réhabilitation du bâtiment de l'ancienne école en logement locatif,127706,10000,LASSERRE Jean-Jacques,Sénat,"0,0783048565",64,UDI,http://nossenateurs.fr/LASSERRE%20Jean-Jacques/xml
LABEUVRIERE,La mise aux normes du réseau de défense incendie,87230,20000,FLAJOLET André,Assemblée nationale,"0,2292789178",62,UMP,http://2007.nosdeputes.fr/FLAJOLET%20André/xml
LABLACHERE,L'aménagement de la bibliothèque dans les nouveaux locaux de la mairie,19346,9673,ACCOYER Bernard,Assemblée nationale,"0,5",7,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LABORDE,La réfection des toitures des bâtiments communaux,45000,10000,FORTASSIN François,Sénat,"0,2222222222",65,RDSE,http://nossenateurs.fr/FORTASSIN%20François/xml
LABROUSSE,"L'aménagement d'un lotissement communal sur le terrain ""Les Places""",124231,8000,MEZARD Jacques,Sénat,"0,0643961652",15,RDSE,http://nossenateurs.fr/MEZARD%20Jacques/xml
LABRUYERE,"La pose d'un poteau incendie, rue de la Source",2660,1300,MARINI Philippe,Sénat,"0,4887218045",60,UMP,http://nossenateurs.fr/MARINI%20Philippe/xml
LACAPELLE-BIRON,La réfection des tribunes du stade de rugby,79508,13798,CAHUZAC Jérôme,Assemblée nationale,"0,1735422851",47,SRC,http://2007.nosdeputes.fr/CAHUZAC%20Jérôme/xml
LACAPELLE-CABANAC,L'aménagement et l'extension des espaces publics du centre bourg,517900,10000,BRICQ Nicole,Sénat,"0,0193087469",46,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
LACASSAGNE,La réfection de la toiture de l'ancien presbytère,8443,4000,JOURNE Jean,Assemblée nationale,"0,4737652493",65,UMP,http://2007.nosdeputes.fr/JOURNE%20Jean/xml
LACELLE,"L'aménagement d'une aire de détente, place de Lacelle",19099,5000,MARC François,Sénat,"0,2617938112",19,SOC,http://nossenateurs.fr/MARC%20François/xml
LACEPEDE,"La réhabilitation, la mise aux normes et l'extension de l'école",72000,5000,TANDONNET Henri,Sénat,"0,0694444444",47,UDI,http://nossenateurs.fr/TANDONNET%20Henri/xml
LACHAMP,"L'acquisition et la démolition d'une maison, et la construction d'un mur de soutènement en bordure de la voie ainsi dégagée",12668,3800,ACCOYER Bernard,Assemblée nationale,"0,2999684244",48,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LACHAMP,La construction d'un préau à l'école,11636,3490,ACCOYER Bernard,Assemblée nationale,"0,2999312479",48,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LACHAPELLE,La réalisation de divers travaux au cimetière,29947,4000,REINER Daniel,Sénat,"0,1335693058",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
LACHAPELLE-SAINT-PIERRE,La réfection de la toiture des ateliers communaux,7705,3503,MANCEL Jean-François,Assemblée nationale,"0,4546398443",60,UMP,http://2007.nosdeputes.fr/MANCEL%20Jean-François/xml
LACHAPELLE-SOUS-CHAUX,L'aménagement du chemin départemental n°13 dit rue de la Gare (1ère tranche),240800,40000,CHEVENEMENT Jean-Pierre,Sénat,"0,1661129568",90,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
LACHAPELLE-SOUS-CHAUX,L'extension du local de stockage de la salle des fêtes,15161,7500,CHEVENEMENT Jean-Pierre,Sénat,"0,4946903239",90,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
LACHAPELLE-SOUS-ROUGEMONT,La sécurisation de la route départementale n° 83 (programme 2012),71420,15000,ZUMKELLER Michel,Assemblée nationale,"0,210025203",90,UMP,http://2007.nosdeputes.fr/ZUMKELLER%20Michel/xml
LACHAPELLE-SOUS-ROUGEMONT,Une étude préalable à l'enrochement de la digue du lac de la Seigneurie,8100,4000,CHEVENEMENT Jean-Pierre,Sénat,"0,4938271605",90,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
LACOLLONGE,"L'aménagement d'un éco-point, rue d'Alsace",34148,10000,0,Réserve ministérielle,"0,2928429191",90,,
LACRES,L'acquisition d'une lame de déneigement,6325,2500,CUVILLIER Frédéric,Assemblée nationale,"0,395256917",62,SRC,http://2007.nosdeputes.fr/CUVILLIER%20Frédéric/xml
LACROIX-BARREZ,La construction de logements sociaux pour personnes âgées,307242,7000,HERVIAUX Odette,Sénat,"0,0227833434",12,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
LACROUZETTE,La restauration des vitraux de l'église (1ère tranche),14133,5000,FOLLIOT Philippe,Assemblée nationale,"0,3537819288",81,NC,http://2007.nosdeputes.fr/FOLLIOT%20Philippe/xml
LADEVEZE-RIVIERE,L'aménagement et la mise en sécurité de la traverse d'agglomération le long de la RD 14,158973,10000,0,Réserve ministérielle,"0,0629037635",32,,
LADEVEZE-RIVIERE,L'éclairage public du boulodrome et de l'église Saint-Laurent,14759,2000,VALL Raymond,Sénat,"0,1355105359",32,RDSE,http://nossenateurs.fr/VALL%20Raymond/xml
LADOIX-SERRIGNY,L'aménagement de la Maison des Associations,174869,25000,SUGUENOT Alain,Assemblée nationale,"0,1429641617",21,UMP,http://2007.nosdeputes.fr/SUGUENOT%20Alain/xml
LADOIX-SERRIGNY,L'aménagement de la RD 974 en traverse d'agglomération (2ème tranche),543528,10000,BRICQ Nicole,Sénat,"0,0183983162",21,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
LAFFAUX,La rénovation des menuiseries du bâtiment de l'ancienne salle de classe et sa réserve,26150,5000,VASSEUR Isabelle,Assemblée nationale,"0,1912045889",2,UMP,http://2007.nosdeputes.fr/VASSEUR%20Isabelle/xml
LAFFAUX,La réfection de la rue de Cappe,66096,5000,JEANNEROT Claude,Sénat,"0,075647543",2,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
LAFFAUX,"Le remplacement et le renforcement de la conduite d'alimentation en eau potable, rue de Cappe",30085,5000,LEFEVRE Antoine,Sénat,"0,1661957786",2,UMP,http://nossenateurs.fr/LEFEVRE%20Antoine/xml
LAFITOLE,"La réalisation d'un ""mur de Marianne"" dans la salle du conseil municipal",10053,4000,GLAVANY Jean,Assemblée nationale,"0,3978911768",65,SRC,http://2007.nosdeputes.fr/GLAVANY%20Jean/xml
LAFITTE-SUR-LOT,La sécurisation et la mise en conformité des bâtiments scolaires,106010,5000,TANDONNET Henri,Sénat,"0,0471653618",47,UDI,http://nossenateurs.fr/TANDONNET%20Henri/xml
LAFRIMBOLLE,L'acquisition d'un ordinateur pour la mairie,1484,740,MASSON Jean-Louis,Sénat,"0,4986522911",57,,http://nossenateurs.fr/MASSON%20Jean-Louis/xml
LAGARDE,L'aménagement et la mise en sécurité des locaux annexes de la mairie,7786,778,LE MENN Jacky,Sénat,"0,0999229386",57,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
LAGARDE,La mise en place d'un site internet municipal,800,400,LEROY Philippe,Sénat,"0,5",57,UMP,http://nossenateurs.fr/LEROY%20Philippe/xml
LAGARDELLE,L'acquisition d'équipements de cuisine pour la salle polyvalente,8415,3000,ORLIAC Dominique,Assemblée nationale,"0,3565062389",46,SRC,http://2007.nosdeputes.fr/ORLIAC%20Dominique/xml
LAGARDELLE-SUR-LEZE,"L'aménagement d'un terrain multisports dans le square ""Bassano in Teverina"" sur l'ancien terrain de football",48360,10000,LABORDE Françoise,Sénat,"0,2067824648",31,RDSE,http://nossenateurs.fr/LABORDE%20Françoise/xml
LAGARDE-PAREOL,"La construction d'une voie transversale, quartier des Franciones",109550,15000,MILON Alain,Sénat,"0,1369237791",84,UMP,http://nossenateurs.fr/MILON%20Alain/xml
LAGNICOURT-MARCEL,La réfection de trottoirs en enrobés,114708,10000,JEANNEROT Claude,Sénat,"0,0871778777",62,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
LAGORCE,La construction d'un bâtiment technique annexe de la mairie,166483,5000,CESAR Gérard,Sénat,"0,0300330965",33,UMP,http://nossenateurs.fr/CESAR%20Gérard/xml
LAGOS,La restauration du lavoir,37285,3000,MARC François,Sénat,"0,0804613115",64,SOC,http://nossenateurs.fr/MARC%20François/xml
LAGRANGE,La réfection de la voirie (programme 2012),43378,5500,GLAVANY Jean,Assemblée nationale,"0,1267923832",65,SRC,http://2007.nosdeputes.fr/GLAVANY%20Jean/xml
LAGRANGE,La réfection des escaliers du bâtiment communal,23551,10000,0,Réserve ministérielle,"0,4246104199",90,,
LAGRAULET-DU-GERS,"L'aménagement du lotissement ""Les Vignes du Barri""",375073,15000,VALL Raymond,Sénat,"0,0399922148",32,RDSE,http://nossenateurs.fr/VALL%20Raymond/xml
LAGRUERE,La restauration de l'église Saint-Aignan (tranche ferme),116533,8000,DIEFENBACHER Michel,Assemblée nationale,"0,068650082",47,UMP,http://2007.nosdeputes.fr/DIEFENBACHER%20Michel/xml
LAGUENNE,L'extension de la salle polyvalente,273840,4000,HOLLANDE François,Assemblée nationale,"0,0146070698",19,SRC,http://2007.nosdeputes.fr/HOLLANDE%20François/xml
LAGUIOLE,"L'extension des réseaux d'eaux usées et pluviales, rue de Lavernhe",222413,15000,CENSI Yves,Assemblée nationale,"0,067442101",12,UMP,http://2007.nosdeputes.fr/CENSI%20Yves/xml
LAHITTE-TOUPIERE,L'aménagement de la route départementale 943,95885,3000,GLAVANY Jean,Assemblée nationale,"0,0312874798",65,SRC,http://2007.nosdeputes.fr/GLAVANY%20Jean/xml
LAHITTE-TOUPIERE,"L'acquisition d'un bâtiment en ruine, en vue de sécuriser le secteur",15000,5000,FORTASSIN François,Sénat,"0,3333333333",65,RDSE,http://nossenateurs.fr/FORTASSIN%20François/xml
LAHONCE,L'extension de l'atelier communal,57200,20020,GRENET Jean,Assemblée nationale,"0,35",64,UMP,http://2007.nosdeputes.fr/GRENET%20Jean/xml
LAIGNES,La réfection de la voirie (programme 2012),43930,20000,ACCOYER Bernard,Assemblée nationale,"0,4552697473",21,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
L'AIGUILLON-SUR-VIE,L'extension et la  réhabilitation en mairie du presbytère,574675,20000,ZOCCHETTO François,Sénat,"0,0348022795",85,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
LAILLY,La construction d'un parking aux abords du cimetière et d'une allée piétonne menant au Hameau de la Charmée,20362,2000,FORT Marie-Louise,Assemblée nationale,"0,0982221786",89,UMP,http://2007.nosdeputes.fr/FORT%20Marie-Louise/xml
LAINS,La réfection de la salle communale,155797,15000,PELISSARD Jacques,Assemblée nationale,"0,0962791325",39,UMP,http://2007.nosdeputes.fr/PELISSARD%20Jacques/xml
LAINS,La réfection du lavoir situé à l'entrée du village,14468,5000,BAILLY Gérard,Sénat,"0,3455902682",39,UMP,http://nossenateurs.fr/BAILLY%20Gérard/xml
LAINVILLE-EN-VEXIN,L'acquisition de jeux d'extérieur pour le parc communal (1ère tranche),12542,6271,0,Réserve ministérielle,"0,5",78,,
LAINVILLE-EN-VEXIN,La réhabilitation de la mairie,40000,20000,0,Réserve ministérielle,"0,5",78,,
LAIVES,La restauration intérieure de l'église du bourg,145366,10000,EMORINE Jean-Paul,Sénat,"0,0687918771",71,UMP,http://nossenateurs.fr/EMORINE%20Jean-Paul/xml
LALINDE,L'aménagement des abords du stade de la Maroutine,138288,30000,GARRIGUE Daniel,Assemblée nationale,"0,216938563",24,NI,http://2007.nosdeputes.fr/GARRIGUE%20Daniel/xml
LALIZOLLE,La réhabilitation du bar-restaurant,32000,5000,SCHURCH Mireille,Sénat,"0,15625",3,CRC,http://nossenateurs.fr/SCHURCH%20Mireille/xml
LALOEUF,Travaux d'assainissement collectif et la construction d'une station d'épuration,965616,30000,0,Réserve ministérielle,"0,0310682507",54,,
LAMA,La réfection de l'ancien réservoir communal et de l'ancien réseau de distribution,15400,5000,GANDOLFI-SCHEIT Sauveur,Assemblée nationale,"0,3246753247",2B,UMP,http://2007.nosdeputes.fr/GANDOLFI-SCHEIT%20Sauveur/xml
LAMARCHE-SUR-SAONE,L'acquisition et l'installation de panneaux de signalisation dans le cadre de la mise en sécurité des écoles et des entrées du bourg,4589,1800,DELATTE Rémi,Assemblée nationale,"0,3922423186",21,UMP,http://2007.nosdeputes.fr/DELATTE%20Rémi/xml
LAMBERSART,La restructuration du hall de l'Hôtel de Ville,376257,100000,0,Réserve ministérielle,"0,2657757862",59,,
LAMBERSART,La construction d'une nouvelle salle de sports dans le quartier du Pacot-Vandracq,3131217,200000,0,Réserve ministérielle,"0,0638729286",59,,
LAMNAY,La restauration des charpentes et des couvertures et du clocher de l'église Saint-Martin (tranche ferme),562709,50000,0,Réserve ministérielle,"0,088855874",72,,
LAMORVILLE,L'édification d'un Monument aux Morts au village de Lavigneville,12000,2000,ZOCCHETTO François,Sénat,"0,1666666667",55,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
LAMOTHE,L'extension et la rénovation de la mairie,183153,10000,CARTRON Françoise,Sénat,"0,0545991603",40,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
LAMOTHE-CAPDEVILLE,La réfection de la partie supérieure du clocher et du support des cloches de l'église de Cos,45000,15750,BAREGES Brigitte,Assemblée nationale,"0,35",82,UMP,http://2007.nosdeputes.fr/BAREGES%20Brigitte/xml
LAMOTHE-LANDERRON,L'installation d'une climatisation réversible à la salle du conseil municipal,4450,2200,FAURE Martine,Assemblée nationale,"0,4943820225",33,SRC,http://2007.nosdeputes.fr/FAURE%20Martine/xml
LAMOTTE-BEUVRON,Le réaménagement du Coeur de Ville,595979,10000,REINER Daniel,Sénat,"0,0167791147",41,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
LAMOTTE-BREBIERE,La construction d'une salle multi-activités et la réhabilitation des sanitaires,280946,25000,0,Réserve ministérielle,"0,0889850719",80,,
LAMOTTE-DU-RHONE,L'installation d'une climatisation à la salle des mariages et la salle polyvalente,14865,7432,MILON Alain,Sénat,"0,4999663639",84,UMP,http://nossenateurs.fr/MILON%20Alain/xml
LAMPAUL-PLOUDALMEZEAU,"L'aménagement de la route de Saint-Pabu, du Carpon à la limite du bourg",26410,10000,LAMOUR Marguerite,Assemblée nationale,"0,3786444529",29,UMP,http://2007.nosdeputes.fr/LAMOUR%20Marguerite/xml
LANANS,Travaux de voirie et la sécurisation de la rue du Champ Rebouté,69025,5000,BONNOT Marcel,Assemblée nationale,"0,0724375226",25,UMP,http://2007.nosdeputes.fr/BONNOT%20Marcel/xml
LANCE,L'acquisition et la viabilisation d'un terrain en vue de la création du lotissement de Bourdelâche,200105,10000,GOURAULT Jacqueline,Sénat,"0,0499737638",41,UDI,http://nossenateurs.fr/GOURAULT%20Jacqueline/xml
LANCHERES,L'aménagement d'une cantine scolaire dans un ancien restaurant,159179,25000,BIGNON Jérôme,Assemblée nationale,"0,1570558931",80,UMP,http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
LANCON,La mise en place de filtres sur l'amenée à la station de relevage,17020,1702,HURE Benoît,Sénat,"0,1",8,UMP,http://nossenateurs.fr/HURE%20Benoît/xml
LANDANGE,La pose d'une porte de sécurité à la salle communale,4151,2000,MARTY Alain,Assemblée nationale,"0,4818116117",57,UMP,http://2007.nosdeputes.fr/MARTY%20Alain/xml
LANDAS,L'extension et la  réhabilitation en mairie du presbytère,993866,7500,LAZARO Thierry,Assemblée nationale,"0,0075462889",59,UMP,http://2007.nosdeputes.fr/LAZARO%20Thierry/xml
LANDAVILLE,La réfection de la voie communale n°1,145983,10000,GAULTIER Jean-Jacques,Assemblée nationale,"0,0685011268",88,UMP,http://2007.nosdeputes.fr/GAULTIER%20Jean-Jacques/xml
LANDECOURT,L'aménagement paysager de la rue du Breuil,35264,8000,NACHBAR Philippe,Sénat,"0,2268602541",54,UMP,http://nossenateurs.fr/NACHBAR%20Philippe/xml
LANDELLES,Aménagements de sécurité sur la RD 920 en traverse du bourg,10959,4300,ACCOYER Bernard,Assemblée nationale,"0,3923715667",28,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LANDOGNE,La réfection et la mise aux normes de l'éclairage public du bourg et des villages,23000,4500,REINER Daniel,Sénat,"0,1956521739",63,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
LANDRES-ET-SAINT-GEORGES,La rénovation du réseau d'eau potable (tranche conditionnelle),151895,10000,0,Réserve ministérielle,"0,0658349518",8,,
LANDRES-ET-SAINT-GEORGES,L'alimentation en eau potable de la ferme de l'Adhuy,81569,10000,LAMENIE Marc,Sénat,"0,1225955939",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
LANDREVARZEC,La rénovation de la chapelle de Quilinen (tranche ferme),319510,45000,ASSOULINE David,Sénat,"0,1408406623",29,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
LANDREVILLE,L'aménagement d'un garage et d'un parking aux abords de la mairie,41138,3500,DHUICQ Nicolas,Assemblée nationale,"0,0850794886",10,UMP,http://2007.nosdeputes.fr/DHUICQ%20Nicolas/xml
LANDROFF,L'équipement de la nouvelle cuisine de la salle communale,23585,3000,LE MENN Jacky,Sénat,"0,1271994912",57,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
LANDUDAL,Aménagements de sécurité routière dans les secteurs de Kerriou et de Pont ar Helec,51248,12000,URVOAS Jean-Jacques,Assemblée nationale,"0,2341554792",29,SRC,http://2007.nosdeputes.fr/URVOAS%20Jean-Jacques/xml
LANESTER,L'aménagement d'un pôle jeunesse dans la maison de quartier de Kesler Devillers,433362,6000,ROUILLARD Gwendal,Assemblée nationale,"0,0138452379",56,SRC,http://2007.nosdeputes.fr/ROUILLARD%20Gwendal/xml
LANEUVEVILLE-DEVANT-BAYON,L'aménagement de la signalisation dans la traversée de l'agglomération,13263,3000,MORENVILLIER Philippe,Assemblée nationale,"0,226193169",54,UMP,http://2007.nosdeputes.fr/MORENVILLIER%20Philippe/xml
LANEUVILLE-A-REMY,L'acquisition de mobilier de bureau et de matériel informatique pour la mairie,3162,1581,CORNUT-GENTILLE François,Assemblée nationale,"0,5",52,UMP,http://2007.nosdeputes.fr/CORNUT-GENTILLE%20François/xml
LANFROICOURT,La mise aux normes de l'armoire électrique et du clocher,5881,2000,REINER Daniel,Sénat,"0,340078218",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
LANGAST,La restauration de la chapelle Saint-Jean,608752,20000,ACCOYER Bernard,Assemblée nationale,"0,0328541015",22,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
LANGOAT,La construction d'une classe de maternelle en extension de l'école Pierre Le Grand,178664,4500,ERHEL Corinne,Assemblée nationale,"0,0251869431",22,SRC,http://2007.nosdeputes.fr/ERHEL%20Corinne/xml
LANGON,La restauration des couvertures de la nef et du choeur de l'église Saint-Sulpice (1ère et 2ème tranches),224031,9000,CARRERE Jean-Louis,Sénat,"0,0401730118",41,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
LANGRES,L'aménagement d'un circuit de visite dédié à Denis Diderot,23084,11541,GUENE Charles,Sénat,"0,49995668",52,UMP,http://nossenateurs.fr/GUENE%20Charles/xml
LANGUIMBERG,La réfection du mécanisme des cloches de l'église,6140,2000,MASSON Jean-Louis,Sénat,"0,325732899",57,,http://nossenateurs.fr/MASSON%20Jean-Louis/xml
LANING,L'aménagement de la cuisine du Foyer Socio-Educatif,4310,2000,LE MENN Jacky,Sénat,"0,464037123",57,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
LANISCAT,"La réhabilitation du bâtiment situé 2, place de l'Eglise en Maison des associations",144400,8000,MARC François,Sénat,"0,055401662",22,SOC,http://nossenateurs.fr/MARC%20François/xml
LANISCOURT,"La réfection de la voie communale n°5, rue du Paradis",11200,2500,ANDRE Pierre,Sénat,"0,2232142857",2,UMP,http://nossenateurs.fr/ANDRE%20Pierre/xml
LANMERIN,L'aménagement de la voie communale n° 7,122956,4500,ERHEL Corinne,Assemblée nationale,"0,036598458",22,SRC,http://2007.nosdeputes.fr/ERHEL%20Corinne/xml
LANMEUR,"La réfection de la voirie et la pose de trottoirs rue Tilliennou, pour la mise en accessibilité de l'hôpital, aux personnes à mobilité réduite",31055,15500,HERVIAUX Odette,Sénat,"0,4991144743",29,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
LANNEANOU,La restauration du clocher de l'église paroissiale Saint-Jean-Baptiste,54567,10000,HERVIAUX Odette,Sénat,"0,1832609453",29,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
LANNES,L'aménagement de l'espace traiteur à la salle des fêtes,41171,5200,DIONIS du SEJOUR Jean,Assemblée nationale,"0,1263024945",47,NC,http://2007.nosdeputes.fr/DIONIS%20du%20SEJOUR%20Jean/xml
LANNEUFFRET,La restauration de la sacristie de l'église paroissiale Saint-Guévroc,35769,15000,MARC François,Sénat,"0,4193575442",29,SOC,http://nossenateurs.fr/MARC%20François/xml
LANNILIS,La construction d'un pôle social,1390000,35000,MARC François,Sénat,"0,0251798561",29,SOC,http://nossenateurs.fr/MARC%20François/xml
LANNOY,L'amélioration de l'éclairage public (3ème phase),41898,20000,VERCAMER Francis,Assemblée nationale,"0,4773497542",59,NC,http://2007.nosdeputes.fr/VERCAMER%20Francis/xml
LANSAC,L'aménagement de la mairie (1ère tranche),47500,4500,GLAVANY Jean,Assemblée nationale,"0,0947368421",65,SRC,http://2007.nosdeputes.fr/GLAVANY%20Jean/xml
LANSAC,L'édification de columbariums,14000,7000,CALVET François,Sénat,"0,5",66,UMP,http://nossenateurs.fr/CALVET%20François/xml
LANSARGUES,La restauration intérieure des 3ème et 4ème chapelles nord de l'église Saint-Martin,210000,20000,BRUGUIERE Marie-Thérèse,Sénat,"0,0952380952",34,UMP,http://nossenateurs.fr/BRUGUIERE%20Marie-Thérèse/xml
LANS-EN-VERCORS,La construction d'un centre culturel,3822951,20000,ASSOULINE David,Sénat,"0,0052315606",38,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
LANTENAY,La construction d'une salle polyvalente,450000,12300,DEPIERRE Bernard,Assemblée nationale,"0,0273333333",21,UMP,http://2007.nosdeputes.fr/DEPIERRE%20Bernard/xml
LANTEUIL,L'aménagement du bourg (2ème tranche),253960,2000,LE MENN Jacky,Sénat,"0,0078752559",19,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
