Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
AIGNEVILLE,La restauration de l'église,257676,15000,BIGNON Jérôme,Assemblée nationale,"0,0582126391",80,UMP,http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
AIGONNAY,La réhabilitation de la salle des fêtes,250205,7622,DULAIT André,Sénat,"0,0304630203",79,UMP,http://nossenateurs.fr/DULAIT%20André/xml
AIGRE,"Aménagements de sécurité et de voirie, place Fahrenkrug et rue du Renclos",439621,5000,LAMBERT Jérôme,Assemblée nationale,"0,011373433",16,SRC,http://2007.nosdeputes.fr/LAMBERT%20Jérôme/xml
AIGRE,"Aménagements de sécurité et d'accessibilité, rue Traslefour",29147,3000,SUEUR Jean-Pierre,Sénat,"0,1029265448",16,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
AIGREMONT,"La construction de toilettes publiques sur le terrain communal ""champ de foire""",20912,10450,CARTRON Françoise,Sénat,"0,4997130834",30,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
AIGUES-VIVES,études préalables à la mise en valeur de la maison natale du Président Gaston Doumergue,11450,5725,BEL Jean-Pierre,Sénat,"0,5",30,SOC,http://nossenateurs.fr/BEL%20Jean-Pierre/xml
AIGUILLON,Le réaménagement de l'école élémentaire Marcel Pagnol (8ème tranche),404000,15000,HERVIAUX Odette,Sénat,"0,0371287129",47,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
AILLEVILLERS-ET-LYAUMONT,La rénovation du gymnase,315000,40000,0,Réserve ministérielle,"0,126984127",70,,
AILLIERES-BEAUVOIR,L'aménagement de la traversée du bourg (2ème tranche),98140,20000,0,Réserve ministérielle,"0,2037905034",72,,
AILLONCOURT,"La réhabilitation de l'ancien presbytère en salles socio-culturelle, associative et de réunion",184680,10000,MICHEL Jean-Pierre,Sénat,"0,054147715",70,SOC,http://nossenateurs.fr/MICHEL%20Jean-Pierre/xml
AILLY,Travaux d'éclairage public au bourg,2049,1000,PONIATOWSKI Ladislas,Sénat,"0,4880429478",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
AIMARGUES,"L'aménagement d'une aire de jeux, boulevard Fanfonne Guillierme",19381,9690,MOURRUT Etienne,Assemblée nationale,"0,4999742015",30,UMP,http://2007.nosdeputes.fr/MOURRUT%20Etienne/xml
AIMARGUES,"La couverture des terrasses de la crèche ""Les 3 pommes""",18390,6000,FOURNIER Jean-Paul,Sénat,"0,3262642741",30,UMP,http://nossenateurs.fr/FOURNIER%20Jean-Paul/xml
