date,heure,convocation,présent
2011-03-28,18:30,2011-03-23,Mme Jessy Pean
2010-11-29,18:30,2010-11-24,M. Jean-Luc Blanc-Simon
2010-11-29,18:30,2010-11-24,M. Serge Dupouy
2010-11-29,18:30,2010-11-24,Mme Valérie Gardeils
2010-11-29,18:30,2010-11-24,Mme Nelly Gillet
2010-11-29,18:30,2010-11-24,M. Jean Fornier de Lachaux
2010-11-29,18:30,2010-11-24,M. Jean-Pierre Lassalle
2010-11-29,18:30,2010-11-24,M. Gilles Laporte
2010-11-29,18:30,2010-11-24,M. Laurent Martinez
2010-11-29,18:30,2010-11-24,M. Jean-Christophe Elineau
2010-11-29,18:30,2010-11-24,M. Jacques Lafitte
2010-11-29,18:30,2010-11-24,M. Jean-Jacques Lesbats
2010-11-29,18:30,2010-11-24,Mme Jessy Péan
2011-05-30,20:00,2011-05-24,M. Jean-Luc Blanc-Simon
2011-05-30,20:00,2011-05-24,Mme Angélina Sourigues
2011-05-30,20:00,2011-05-24,M. Serge Dupouy
2011-05-30,20:00,2011-05-24,Mme Valérie Gardeils
2011-05-30,20:00,2011-05-24,Mme Nelly Gillet
2011-05-30,20:00,2011-05-24,M. Jean-Pierre Lassalle
2011-05-30,20:00,2011-05-24,M. Alain Marchal
2011-05-30,20:00,2011-05-24,M. Jean-Christophe Elineau
2011-05-30,20:00,2011-05-24,M. Jean-Jacques Lesbats
2011-05-30,20:00,2011-05-24,Mme Jessy Péan
2009-03-31,,2009-03-25,M. Fourcade Michel
2009-03-31,,2009-03-25,M. Blanc-Simon Jean-Luc
2009-03-31,,2009-03-25,Mme Sourigues Angéline
2009-03-31,,2009-03-25,M. Dupouy Serge
2009-03-31,,2009-03-25,M. Fornier de Lachaux Jean
2009-03-31,,2009-03-25,M. Lassalle Jean-Pierre
2009-03-31,,2009-03-25,M. Marchal Alain
2009-03-31,,2009-03-25,M. Laporte Gilles
2009-03-31,,2009-03-25,Mme Gardeils Valérie
2009-03-31,,2009-03-25,M. Martinez Laurent
2009-03-31,,2009-03-25,Mme Gillet Nelly
2011-10-03,18:30,2011-09-27,M. Jean-Luc Blanc-Simon
2011-10-03,18:30,2011-09-27,Mme Angélina Sourigues
2011-10-03,18:30,2011-09-27,M. Serge Dupouy
2011-10-03,18:30,2011-09-27,Mme Valérie Gardeils
2011-10-03,18:30,2011-09-27,Mme Nelly Gillet
2011-10-03,18:30,2011-09-27,M. Jean Fornier de Lachaux
2011-10-03,18:30,2011-09-27,M. Jean-Pierre Lassalle
2011-10-03,18:30,2011-09-27,Mme Fabienne Schaerer
2011-10-03,18:30,2011-09-27,M. Alain Marchal
2011-10-03,18:30,2011-09-27,M. Gilles Laporte
2011-10-03,18:30,2011-09-27,M. Laurent Martinez
2011-10-03,18:30,2011-09-27,M. Jean-Christophe Elineau
2011-10-03,18:30,2011-09-27,M. Jacques Lafitte
2011-10-03,18:30,2011-09-27,M. Jean-Jacques Lesbats
2011-10-03,18:30,2011-09-27,Mme Jessy Péan
2011-04-04,18:30,2011-03-30,M. Jean-Luc Blanc-Simon
2011-04-04,18:30,2011-03-30,M. Serge Dupouy
2011-04-04,18:30,2011-03-30,Mme Valérie Gardeils
2011-04-04,18:30,2011-03-30,Mme Nelly Gillet
2011-04-04,18:30,2011-03-30,M. Jean Fornier de Lachaux
2011-04-04,18:30,2011-03-30,M. Jean-Pierre Lassalle
