pays,nom pap,auteur,titre,editeur,type,editeur trad,periode
SERBIE,Danilo Kis,Todorov Tzvetan,La peur des barbares,Robert Laffont,inconnu,KARPOS,2009-09-01
SERBIE,Danilo Kis,Albera François,L'Avant-garde au cinéma,Armand Colin,OK,CLIO,2010-09-01
SERBIE,Danilo Kis,Attali Jacques,La crise... Et après,Librairie Arthème Fayard,Documents/Essais d'actualité,HEDONE,2010-03-01
SERBIE,Danilo Kis,Attali Jacques,Une brève histoire de l'avenir,Librairie Arthème Fayard,OK,ARCHIPELAG,2010-09-01
SERBIE,Danilo Kis,Barthes Roland,La Chambre claire.Note sur la photographie ,Éd. du Seuil,œuvres littéraires contemporaines,KULTURNI CENTAR BEOGRADA,2010-03-01
SERBIE,Danilo Kis,Colette,Le Pur et l'impur,Librairie Arthème Fayard,OK,KARPOS,2010-09-01
SERBIE,Danilo Kis,Darrieussecq Marie,Le Bébé,P.O.L,Littérature,PAIDEIA,2010-03-01
SERBIE,Danilo Kis,Horel Catherine,Cette Europe qu'on dit Centrale,BAUCHESNE EDITEUR,Documents/Essais d'actualité,CLIO,2010-03-01
SERBIE,Danilo Kis,Jaccottet Philippe,Airs (1967) Paysagesavec figures absentes (1976),Gallimard,œuvres littéraires contemporaines,NARODNA BIBLIOTEKA STEFAN PRVOVENCANI,2010-03-01
SERBIE,Danilo Kis,Khadra Yasmina,L'Attentat,Robert Laffont//Julliard,Littérature,CAROBNA KNJIGA,2010-09-01
SERBIE,Danilo Kis,Kojève Alexandre,Esquisse d'une phénoménologie du droit,Gallimard,Universitaire/Enseignement supérieur,IK ZORANA STOJANOVICA,2010-03-01
SERBIE,Danilo Kis,Lacarrière Jacques,L''06 grec,Plon,œuvres littéraires contemporaines,KARPOS,2010-03-01
SERBIE,Danilo Kis,Lipovetsky Gilles,L'ère du vide,Gallimard,œuvres littéraires contemporaines,IK ZORANA STOJANOVICA,2010-03-01
SERBIE,Danilo Kis,'05gret Éric,Sociologie de la communicationet des média,Armand Colin,OK,CLIO,2010-09-01
SERBIE,Danilo Kis,Martinez Carole,Le cœur cousu,Gallimard,œuvres littéraires contemporaines,ODISEJA,2010-03-01
SERBIE,Danilo Kis,Mucchielli Alex,L'Art d'influencer,Armand Colin,OK,CLIO,2010-09-01
SERBIE,Danilo Kis,NDiaye Marie,Trois femmes puissantes,Gallimard,œuvres littéraires contemporaines,Agora,2010-03-01
SERBIE,Danilo Kis,Nicolazzi Isabelle,Mon atlas écolo,Milan,OK,NK JASEN DOO,2010-09-01
SERBIE,Danilo Kis,Rancière Jacques,La Fable cinématographique,Éd. du Seuil,OK,CLIO,2010-09-01
SERBIE,Danilo Kis,Rougemont Denis (de),L'Amour et l'Occident,Plon,OK,KARPOS,2010-09-01
SERBIE,Danilo Kis,Salmon Christian,Storytelling,La Découverte,OK,CLIO,2010-09-01
SERBIE,Danilo Kis,Barthes Roland,Mythologies,Éd. du Seuil,Sciences Hu'05nes et Sociales,KARPOS,2011-03-01
SERBIE,Danilo Kis,Baubérot Jean etMilot Micheline,Laïcités sans frontières,Éd. du Seuil,Philosophie/Religion,KARPOS,2011-09-01
SERBIE,Danilo Kis,Derens Jean-Arnault et Geslin  Laurent,Voyage au pays de Gorani (Balkans; début du XXIe siècle),Éd. Cartouche,Littérature,Krug Commerce,2011-03-01
SERBIE,Danilo Kis,Dupont Florence ,Aristote ou le vampire du théâtre occidental,Flammarion,Arts,CLIO,2011-03-01
SERBIE,Danilo Kis,Duras Marguerite,Emily L.,Éd. de Minuit,Fiction,Albatro plus,2011-09-01
SERBIE,Danilo Kis,Echenoz Jean,Ravel,Éd. de Minuit,Littérature,PAIDEIA,2011-09-01
SERBIE,Danilo Kis,Énard Mathias,Bréviaire des artificiers,Gallimard,Fiction,Agora,2011-03-01
SERBIE,Danilo Kis,Faye Eric,Nagasaki,Stock,Littérature,Geopotika Publishing,2011-03-01
SERBIE,Danilo Kis,Foucault Michel,Histoire de la folie à l'Âge classique,Gallimard,Sciences Hu'05nes et Sociales,MEDITERRAN PUBLISHING D.O.O.,2011-09-01
SERBIE,Danilo Kis,Jaccottet Philippe,Cahier de verdure suivi de Après beaucoup d'années,Gallimard,Poésie,NARODNA BIBLIOTEKA STEFAN PRVOVENCANI,2011-03-01
SERBIE,Danilo Kis,Lipovetsky Gilles et Serroy Jean,L'Écran global,Éd. du Seuil,Sciences Hu'05nes et Sociales,Akademska knjiga,2011-09-01
SERBIE,Danilo Kis,Morel Jean-Pierre ,Le roman insuportable,Gallimard,Littérature,Izdavacka knjizarnica Zorana Stojanovica,2011-03-01
SERBIE,Danilo Kis,Pastoureau Michel ,Les Couleurs de nos souvenirs,Éd. du Seuil,Sciences Hu'05nes et Sociales,KARPOS,2011-09-01
SERBIE,Danilo Kis,Perec Georges,Les choses,Robert Laffont//Julliard,Littérature,Agora,2011-03-01
SERBIE,Danilo Kis,Picq Pascal; Sagan Laurent;Dehaene Ghislaine et Lestienne Cécile,La plus belle histoire du langage,Éd. du Seuil,Sciences Hu'05nes et Sociales,Akademska knjiga,2011-03-01
SERBIE,Danilo Kis,Pitte Jean-Robert ,Le désir du vin à la conquête du monde,Librairie Arthème Fayard,Sciences Hu'05nes et Sociales,Mono et Manjana,2011-03-01
SERBIE,Danilo Kis,Roubaud Jacques,Quelque chose noir,Gallimard,Poésie,TRECI TRG,2011-09-01
SERBIE,Danilo Kis,Roudinesco Elisabeth ,La Famille en désordre,Librairie Arthème Fayard,Philosophie/Religion,Akademska knjiga,2011-09-01
SERBIE,Danilo Kis,Salvayre Lydie ,Les Belles Âmes,Éd. du Seuil,Fiction,CAROBNA KNJIGA,2011-09-01
SERBIE,Danilo Kis,Vargin Olivier ,"Regard sur l'art de l""autre"" Europe:L'art contemporain est-européen après 1989",L'Harmattan,Arts,CLIO,2011-09-01
SERBIE,Danilo Kis,Assoun Paul-Laurent ,"Lacan (coll. ""Que sais-Je"")",PUF,inconnu,KARPOS,2012-03-01
SERBIE,Danilo Kis,Audeguy Stéphane ,Fils unique,Gallimard,inconnu,Albatro plus,2012-03-01
SERBIE,Danilo Kis,Brague Rémi ,La sagesse du monde.Histoire de l'expérience hu'05ne de l'univers,Librairie Arthème Fayard,inconnu,Akademska knjiga,2012-03-01
SERBIE,Danilo Kis,Colette,La Chatte,Librairie Arthème Fayard,Jeunesse,CLIO,2012-09-01
SERBIE,Danilo Kis,Deliège Robert ,Une histoire de l'anthropologie,Éd. du Seuil,inconnu,KRUG COMMERCE(Biblioteka XX vek),2012-03-01
SERBIE,Danilo Kis,Delumeau Jean ,Le Péché et la Peur,Librairie Arthème Fayard,inconnu,Izdavacka knjizarnica Zorana Stojanovica,2012-03-01
SERBIE,Danilo Kis,Duteurtre Benoit ,L''06 76,Gallimard,inconnu,Albatro plus,2012-03-01
SERBIE,Danilo Kis,Esquenazi Jean-Pierre ,Les Séries télévisées.L'avenir du cinéma?,Armand Colin,Sciences Hu'05nes et Sociales,CLIO,2012-03-01
SERBIE,Danilo Kis,Foucault Michel,Dits et écrits,Gallimard,inconnu,KARPOS,2012-03-01
SERBIE,Danilo Kis,Hadot Pierre,La Citadelle intérieure,Librairie Arthème Fayard,Jeunesse,FEDON,2012-09-01
SERBIE,Danilo Kis,Morin Edgar et Hessel Stéphane,Le Chemin de l'espérance,Librairie Arthème Fayard,inconnu,HEDONE d.o.o.,2012-03-01
SERBIE,Danilo Kis,Pennac Daniel,Journal d'un corps,Gallimard,Jeunesse,CAROBNA KNJIGA,2012-09-01
SERBIE,Danilo Kis,Vanchéri Luc ,Les Pensées figurales de l'image,Armand Colin,inconnu,CLIO,2012-03-01
SERBIE,Danilo Kis,Wilgenbus David et Pol Didier (dir.),Graines de sciences 8,Le Pommier,inconnu,AKM Edukacijai Zavod za Udzbenike,2012-03-01
SERBIE,Danilo Kis,Wilgenbus David et Pol Didier (dir.),Graines de sciences 9,Le Pommier,inconnu,AKM Edukacijai Zavod za Udzbenike,2012-03-01
SERBIE,Danilo Kis,Abélès Marc,Anthropologie de la globalisation,Payot & Rivages,inconnu,Krug Commerce,2013-02-01
SERBIE,Danilo Kis,Badiou Alain,Petit panthéon portatif,La Fabrique,inconnu,KARPOS,2013-02-01
SERBIE,Danilo Kis,Cardon Dominique,La démocratie internet,Éd. du Seuil,SHS,Fabrika knjiga,2013-06-01
SERBIE,Danilo Kis,Chastel André,Art et humanisme à Florenceau temps de Laurent le Magnifique,PUF,Arts,IK ZORANA STOJANOVICA,2013-06-01
SERBIE,Danilo Kis,Chaubet François et Martin Laurent ,Histoire des relations culturelles dans le monde,Armand Colin,inconnu,CLIO,2013-02-01
SERBIE,Danilo Kis,Cohen Daniel ,Homo economicus - Prophète (égaré) des temps nouveaux,Albin Michel,inconnu,CLIO,2013-02-01
SERBIE,Danilo Kis,Colic Velibor,Sarajevo omnibus,Gallimard,Littérature,CLIO,2013-06-01
SERBIE,Danilo Kis,Depauw Lucie,"Découvrir le théâtre français contemporain:""HymeN"" ",Écritures Théâtrales du Grand Ouest,Théâtre,ARS DRAMATICA NOVA/JUGOSLOVENSKODRAMSKO POZORISTE,2013-06-01
SERBIE,Danilo Kis,Eribon Didier,Michel Foucault,Flammarion,SHS,KARPOS,2013-06-01
SERBIE,Danilo Kis,Fred,"Philémon - Le naufrage du ""A",Mediatoon/Dargaud	,BD,Sirius production,2013-06-01
SERBIE,Danilo Kis,Jessua Claude,Le capitalisme,PUF,SHS,KARPOS,2013-06-01
SERBIE,Danilo Kis,Juillard Claire ,Boris Vian,Gallimard,inconnu,KISA,2013-02-01
SERBIE,Danilo Kis,Koyre Alexandre,Études galiléennes,Hermann,inconnu,Izdavacka knjizarnica Zorana Stojanovica,2013-02-01
SERBIE,Danilo Kis,Leiris Michel ,L'Afrique fantôme,Gallimard,inconnu,KISA,2013-02-01
SERBIE,Danilo Kis,Lescot David,"Découvrir le théâtre français contemporain:""Le système Ponzi"" ",Actes Sud,Théâtre,ARS DRAMATICA NOVA/JUGOSLOVENSKODRAMSKO POZORISTE,2013-06-01
SERBIE,Danilo Kis,Lévi-Strauss Claude,L'Autre Face de la lune et L'Anthropologie face aux problèmes du monde moderne,Éd. du Seuil,inconnu,Krug Commerce,2013-02-01
SERBIE,Danilo Kis,Mangin Valerie et Gajic Aleksa ,Drakko. La treizième horde,Soleil,inconnu,MORO,2013-02-01
SERBIE,Danilo Kis,Masson Emilia ,Les Douze Dieux d'immortalité,Les Belles Lettres,inconnu,Pesic i sinovi,2013-02-01
SERBIE,Danilo Kis,Mauvignier Laurent,"Découvrir le théâtre français contemporain:""Tout mon amour"" ",Éd. de Minuit,Théâtre,ARS DRAMATICA NOVA/JUGOSLOVENSKODRAMSKO POZORISTE,2013-06-01
SERBIE,Danilo Kis,Mœbius,Le Monde d'Edena (1 tome),Casterman,BD,Moro d.o.O.,2013-06-01
SERBIE,Danilo Kis,Rancière Jacques,La Haine de la démocratie,La Fabrique,inconnu,KARPOS,2013-02-01
SERBIE,Danilo Kis,Sonntag Frédéric,"Découvrir le théâtre français contemporain:""George Kaplan"" ",Éd. théâtrales,Théâtre,ARS DRAMATICA NOVA/JUGOSLOVENSKODRAMSKO POZORISTE,2013-06-01
SERBIE,Danilo Kis,Starobinski Jean ,Le Remède dans le mal,Gallimard,inconnu,Izdavacka knjizarnica Zorana Stojanovica,2013-02-01
SERBIE,Danilo Kis,Veyne Paul,Quand notre monde est devenu chrétien,Albin Michel,SHS,MEDITERRAN PUBLISHING D.O.O.,2013-06-01
SERBIE,Danilo Kis,Watkins Gérard,"Découvrir le théâtre français contemporain:""Identité"" ",Voix Navigables,Théâtre,ARS DRAMATICA NOVA/JUGOSLOVENSKODRAMSKO POZORISTE,2013-06-01
SLOVAQUIE,,Makine Andrei,Le livre des brèves amours éternelles,Éd. du Seuil,Littérature,Inaque.sk (ARThur; s.r.o.),2013-06-01
SLOVÉNIE,Valentin Vodnik,David B,Epileptic nst;2nd; 3rd,Presses universitaires de Lyon,BD,Forum Ljubljana,2008-01-01
SLOVÉNIE,Valentin Vodnik,Deleuze Gilles,Critique et clinique,Éd. de Minuit,inconnu,Studenska Zalozba,2008-01-01
SLOVÉNIE,Valentin Vodnik,Jullien François ,Eloge de la fadeur,Philippe Picquier,inconnu,Studenska Zalozba,2008-01-01
SLOVÉNIE,Valentin Vodnik,Marjane Satrapi,Persepolis Part 1; Persepolis Part 2,Presses universitaires de Lyon,inconnu,Drustvo za ozivlajanje,2008-01-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,Résistance de la poésie,WILLIAMS BLAKE and Co,inconnu,Hyperion,2008-01-01
SLOVÉNIE,Valentin Vodnik,Veyne Paul,Quand notre monde est devenu chrétien,Albin Michel,inconnu,Modrijan Zalozba,2008-01-01
SLOVÉNIE,Valentin Vodnik,Badiou Alain,Court traité d'ontologie transitoire et abrégé de métapolitique,Éd. du Seuil,inconnu,Zalozba ZRC; ZRC SAZU,2009-09-01
SLOVÉNIE,Valentin Vodnik,Ernaux Annie,Les Années,Gallimard,inconnu,Didakta,2009-09-01
SLOVÉNIE,Valentin Vodnik,Le Clézio J.-M. G.,Ritournelle de la faim,Gallimard,inconnu,Didakta,2009-09-01
SLOVÉNIE,Valentin Vodnik,Maalouf Amin,Le Rocher de Tanios,Grasset & Fasquelle,inconnu,Piano,2009-09-01
SLOVÉNIE,Valentin Vodnik,Marion Jean-Luc,L'Idole et la distance,Grasset & Fasquelle,inconnu,Drustvo Apokalipsa,2009-09-01
SLOVÉNIE,Valentin Vodnik,Rancière Jacques,Le Spectateur émancipé,La Fabrique,inconnu,Maska,2009-09-01
SLOVÉNIE,Valentin Vodnik,Braudel Fernand,La Dynamique du capitalisme,Flammarion,Documents/Essais d'actualité,Zalozba Sophia,2010-09-01
SLOVÉNIE,Valentin Vodnik,Collectif,Anthologie de nouvelles françaises,Gallimard; Julliard;Le Dilettante; Actes Sud;Ed. de Minuit; Albin Michel,œuvres littéraires contemporaines,Kulturno umetniskodrustvo Sodobnos,2010-09-01
SLOVÉNIE,Valentin Vodnik,Fanon Frantz ,Les damnés de la terre,La Découverte,œuvres littéraires contemporaines,Zalozba Sophia,2010-03-01
SLOVÉNIE,Valentin Vodnik,Maalouf Amin,Léon l'Africain,JC Lattès,œuvres littéraires contemporaines,Druzba Piano,2010-09-01
SLOVÉNIE,Valentin Vodnik,Makine Andrei,La vie d'un homme inconnu,Éd. du Seuil,œuvres littéraires contemporaines,Druzba Piano,2010-03-01
SLOVÉNIE,Valentin Vodnik,NDiaye Marie,Trois femmes puissantes,Gallimard,œuvres littéraires contemporaines,Modrijan Zalozba,2010-03-01
SLOVÉNIE,Valentin Vodnik,Pomian Krzysztof,L'ordre du temps,Gallimard,œuvres littéraires contemporaines,Zalozba Krtina,2010-03-01
SLOVÉNIE,Valentin Vodnik,Quignard Pascal ,Tous les matins du monde,Gallimard,œuvres littéraires contemporaines,Javni Sklad za Kultrno Dejavnost,2010-09-01
SLOVÉNIE,Valentin Vodnik,Starobinski Jean ,L'Invention de la liberté; 1700-1789suivi de 1789; les emblèmes de la raison,Gallimard,œuvres littéraires classiques,Zalozba Studia humanitatis,2010-09-01
SLOVÉNIE,Valentin Vodnik,Velter André,L'Amour extrême et autres poèmespour Chantal Mauduit,Gallimard,œuvres littéraires contemporaines,Knjizevno drustvo Hisa Pœzije,2010-03-01
SLOVÉNIE,Valentin Vodnik,Augé Marc,Non-lieux. Introduction à l'anthropologie du surmodernisme,Éd. du Seuil,Anthropologie/Sociologie,Maska,2011-03-01
SLOVÉNIE,Valentin Vodnik,Bachelard Gaston ,L'Eau et les Rêves,José Corti,Philosophie/Religion,Studia Humanitatis,2011-09-01
SLOVÉNIE,Valentin Vodnik,Badiou Alain,Second manifeste pour la philosophie,Librairie Arthème Fayard,Philosophie/Religion,ZRC Zalozba,2011-09-01
SLOVÉNIE,Valentin Vodnik,Camus Albert,La Postérité du soleil,Gallimard,Littérature,hisa poezije,2011-03-01
SLOVÉNIE,Valentin Vodnik,Cyrulnik Boris ,Mourir de la Honte,Odile Jacob,Psychologie/Psychanalyse,Modrijan,2011-03-01
SLOVÉNIE,Valentin Vodnik,Maalouf Amin,Origines,Grasset & Fasquelle,Fiction,Zalozba Sophia,2011-03-01
SLOVÉNIE,Valentin Vodnik,Makine Andrei,Requiem pour l'est,Mercure de France,Fiction,Piano,2011-03-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,Corpus,Métailié,Philosophie/Religion,Studenska Zalozba,2011-03-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,La naissance des seins,Galilée,inconnu,Studenska Zalozba,2011-03-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,Noli me tangere,Bayard,inconnu,Studenska Zalozba,2011-03-01
SLOVÉNIE,Valentin Vodnik,Roubaud Jacques,Poèmes choisis,auteur détenteur des droits,Poésie,Studenska Zalozba,2011-03-01
SLOVÉNIE,Valentin Vodnik,Audeguy Stéphane ,Fils unique,Gallimard,inconnu,Zalozba Sanje,2012-03-01
SLOVÉNIE,Valentin Vodnik,Barthes Roland,Le Plaisir du texte,Éd. du Seuil,inconnu,Studenska Zalozba,2012-03-01
SLOVÉNIE,Valentin Vodnik,Césaire Aimé,Poèmes (sélection),Éd. du Seuil,Fiction,Studenska Zalozba,2012-09-01
SLOVÉNIE,Valentin Vodnik,Césaire Aimé,Poèmes (sélection),Gallimard,Jeunesse,Studenska Zalozba,2012-09-01
SLOVÉNIE,Valentin Vodnik,Césaire Aimé,Poèmes (sélection),Présence africaine,Jeunesse,Studenska Zalozba,2012-09-01
SLOVÉNIE,Valentin Vodnik,Deleuze Gilles,Proust et les signes,PUF,inconnu,Studenska Zalozba,2012-03-01
SLOVÉNIE,Valentin Vodnik,Fischbach Franck ,Sans objet.Capitalisme; subjectivité et aliénation,Vrin,inconnu,Zalozba Krtina,2012-03-01
SLOVÉNIE,Valentin Vodnik,Giroud Franck; Rocco Bruno;Mounier Alain; Gillon Paul et Rollin Lucien,Le Décalogue V-VIII,Glénat,inconnu,BUCH,2012-03-01
SLOVÉNIE,Valentin Vodnik,Le Ray Anik et Dautremer Rebecca,Kerity; la '05son des contes,Flammarion,inconnu,Zalozba Sanje,2012-03-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,Être singulier pluriel,Galilée,inconnu,Zalozba Apokalipsa,2012-03-01
SLOVÉNIE,Valentin Vodnik,Nancy Jean-Luc,La Beauté,Bayard,inconnu,Zalozba Apokalipsa,2012-03-01
SLOVÉNIE,Valentin Vodnik,Rancière Jacques,Malaise dans l'esthétique,Galilée,inconnu,Zalozba ZRC; ZRC SAZU,2012-03-01
SLOVÉNIE,Valentin Vodnik,Sfar Joann,Pascin,L'Association,BD,Forum Ljubljana,2012-09-01
SLOVÉNIE,Valentin Vodnik,Collectif,Le Décalogue (t. 9; 10 et hors série),Glénat,BD,Buch d.o.o.,2013-02-01
SLOVÉNIE,Valentin Vodnik,Comolli Jean-Louis,Cinéma contre spectacle,Verdier,SHS,Društvo za širjenjefilmske kulture Kino!,2013-06-01
SLOVÉNIE,Valentin Vodnik,Deville Patrick,Peste & Cholera,Éd. du Seuil,Littérature,Modrijan Založba d.o.o.,2013-06-01
SLOVÉNIE,Valentin Vodnik,Didi-Huberman Georges,La Ressemblance par contact,Éd. de Minuit,Arts,Studia Humanitatis,2013-06-01
SLOVÉNIE,Valentin Vodnik,Kristof Agota,L'Analphabète,Pierre Astier & associés(éditions Zoé),Littérature,Modrijan Založba d.o.o.,2013-06-01
SLOVÉNIE,Valentin Vodnik,Le Clézio J.-M. G.,L'Africain,Mercure de France,Littérature,Studenska Zalozba,2013-06-01
SLOVÉNIE,Valentin Vodnik,Loisel Régis,Peter Pan (épisodes 1-3),Glénat,BD,Studio Risar,2013-06-01
SUISSE,Jacques Chessex,Bobin Christian ,L'Homme-joie,L'Iconoclaste ,inconnu,Edition Spuren,2013-02-01
SYRIE,Saadahllah Wannous,Prazan Michael,La Maîtresse de Charles Baudelaire,Plon,Biographies,Dar Ninawa,2010-09-01
TAIWAN,Hu Pinching,Arthus-Bertrand Yann,Home,La Martinière,inconnu,Le flaneur,2009-09-01
TAIWAN,Hu Pinching,Heurtier A.; Petit A.,Sidonie Quenouille,Éd. du Rouergue,inconnu,Commonwealth magazine Co. Ltd.,2009-09-01
TAIWAN,Hu Pinching,Rancière Jacques,Les Noms dans l'histoire : essai de poétique du savoir,Éd. du Seuil,inconnu,Rye Field Publications,2009-09-01
TAIWAN,Hu Pinching,Colmont Marie et Tallec Olivier ,Michka,Flammarion,inconnu,Linking,2012-03-01
TAIWAN,Hu Pinching,Joly Fannyet Audouin Laurent,Vendetta à Venise,Sarbacane, Essai,Linking Publishing Company,2012-09-01
TAIWAN,Hu Pinching,Moundlic Charlotte et Tallec Olivier ,La Croûte,Flammarion,inconnu,Linking,2012-03-01
TAIWAN,Hu Pinching,Moundlic Charlotte et Tallec Olivier ,Le Slip de bain ou les pires vacances de la vie,Flammarion,inconnu,Linking,2012-03-01
TAIWAN,Hu Pinching,Schirmer Raphaël; Boissière Aurélieet Vélasco-Graciet Hélène,Atlas mondial des vins,Autrement,inconnu,Linking,2012-03-01
TAIWAN,Hu Pinching,Petit Xavier-Laurent,Be safe,L'École des loisirs,Jeunesse,Global Kids Books,2013-06-01
TAIWAN,Hu Pinching,Sembène Ousmane,Xala,Présence africaine,Littérature,Howard publish Co,2013-06-01
TAIWAN,Hu Pinching,Séry Macha; Mazauric; Claudeet Mahieu Jean-Pascal,À 20 ans,Au diable vauvert,Littérature,Business Weekly Publications,2013-06-01
TAIWAN,Hu Pinching,Vivès Bastien,Le Goût du Chlore,Casterman,BD,Cube Press,2013-02-01
TAIWAN,Hu Pinching,Vivès Bastien,Polina,Casterman,BD,Cube Press,2013-02-01
TUNISIE,Salah Garmadi,Yadh Ben Achour,Aux fondements de l'orthodoxie sunnite,PUF,inconnu,Ceres,2008-01-01
TUNISIE,Salah Garmadi,Béji Hélé,L'Œil du jour,Maurice Nadeau,OK,Clairefontaine/Elyzad,2010-09-01
TUNISIE,Salah Garmadi,Ducrot Oswaldet Schaeffer Jean-Marie,Nouveau dictionnaire encyclopédiquedes sciences du langage,Éd. du Seuil,Dictionnaires/Encyclopédies,Centre National de la Traduction,2010-03-01
TUNISIE,Salah Garmadi,Sartre Jean-Paul,L'existentialisme est un humanisme,Gallimard,œuvres littéraires contemporaines,Mohamed Ali Editions,2010-09-01
TUNISIE,Salah Garmadi,Beau Nicolas et Tuquoi Jean-Pierre,Notre ami Ben Ali (traduction en arabe),La Découverte,Politique/Géopolitique,CAEU medali + RMR édition,2011-03-01
TUNISIE,Salah Garmadi,Graciet Catherine et Beau Nicolas ,La Régente de Carhage (traduction en arabe),La Découverte,Politique/Géopolitique,CAEU medali + RMR édition,2011-03-01
TUNISIE,Salah Garmadi,Reporters sans frontière,Tunisie; le livre noir (traduction en arabe),La Découverte,Politique/Géopolitique,CAEU medali + RMR édition,2011-03-01
TUNISIE,Salah Garmadi,Bonnefoy Yves,L’arrière-pays,Gallimard,Littérature,La '05son Tunisienne du Livre,2013-06-01
TURQUIE,Sinasi,Abel Olivier et Porée Jérôme,Le vocabulaire de Paul Ricœur,Ellipses,Philosophie/Religion,Say,2011-03-01
TURQUIE,Sinasi,Badiou Alainet Cassin Barbara,Heidegger: Le nazisme; les femmes; la philosophie Il n'y a pas de rapport sexuel:Deux leçons sur L'Étourdit de Lacan,Librairie Arthème Fayard,Philosophie/Religion,Monokl,2011-03-01
TURQUIE,Sinasi,Blanchot Maurice,Lautréamont et Sade,Éd. de Minuit,Littérature,Monokl,2011-03-01
TURQUIE,Sinasi,Canguilhem Georges ,Le Normal et le Pathologique,PUF,Philosophie/Religion,Monokl,2011-09-01
TURQUIE,Sinasi,Deleuze Gilles,Cinéma 1; image-mouvement,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-03-01
TURQUIE,Sinasi,Deleuze Gilles,Foucault,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-03-01
TURQUIE,Sinasi,Deleuze Gilles,Logique du sens,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-03-01
TURQUIE,Sinasi,Deleuze Gilles,Spinoza - Problème de l'expression,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-03-01
TURQUIE,Sinasi,Deleuze Gilles et Bene Carmelo ,Superpositions,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-09-01
TURQUIE,Sinasi,Deleuze Gilles et Guattari Félix,Mille plateaux,Éd. de Minuit,Philosophie/Religion,Norgunk,2011-09-01
TURQUIE,Sinasi,Derrida Jacques,La Voix et le Phénomène,PUF,Philosophie/Religion,Monokl,2011-09-01
TURQUIE,Sinasi,Dupond Pascal ,Le vocabulaire de Merleau-Ponty,Ellipses,Philosophie/Religion,Say,2011-03-01
TURQUIE,Sinasi,Henry Michel,Entretiens,Sulliver,Philosophie/Religion,Monokl,2011-03-01
TURQUIE,Sinasi,Lacan Jacques ,Télévision,Éd. du Seuil,Psychologie/Psychanalyse,Monokl,2011-09-01
TURQUIE,Sinasi,Levinas Emmanuel ,Humanisme de l'autre homme,Fata Morgana,Philosophie/Religion,Monokl,2011-03-01
TURQUIE,Sinasi,Lyotard Jean-François,Le différend,Éd. de Minuit,Philosophie/Religion,Monokl,2011-03-01
TURQUIE,Sinasi,Nancy Jean-Luc,Être singulier pluriel,Galilée,Philosophie/Religion,Monokl,2011-03-01
TURQUIE,Sinasi,Nancy Jean-Luc,La Communauté désœuvrée,Christian Bourgois,Philosophie/Religion,Monokl,2011-09-01
TURQUIE,Sinasi,Revel Judith,Le voabulaire de Foucault,Ellipses,Philosophie/Religion,Say,2011-03-01
TURQUIE,Sinasi,Badiou Alain,Théorie du sujet,Éd. du Seuil,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Bataille Georges ,L'Érotisme,Éd. de Minuit,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Blanchot Maurice,L'Espace littéraire,Gallimard,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Derrida Jacques,Marges de la Philosophie,Éd. de Minuit,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Didi-Huberman Georges,Le Danseur des solitudes,Éd. de Minuit,inconnu,Norgunk,2012-03-01
TURQUIE,Sinasi,Didi-Huberman Georges,Survivance des lucioles,Éd. de Minuit,inconnu,Norgunk,2012-03-01
TURQUIE,Sinasi,Girard René ,La Voix méconnue du réel,Grasset & Fasquelle,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Guattari Félix,Écrits pour l'Anti-Œdipe,Lignes,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Lacan Jacques ,Le Séminaire. Livre XX. Encore,Éd. du Seuil,inconnu,Monokl,2012-03-01
TURQUIE,Sinasi,Stiegler Bernard et Derrida Jacques ,Échographies de la Télévision,Galilée,inconnu,Monokl,2012-03-01
UKRAINE,Skovoroda,Saint-Exupéry Antoine de,Citadelle,Gallimard,inconnu,Zhupansky Publishers,2008-01-01
UKRAINE,Skovoroda,François Mauriac,Vie de Jésus,Flammarion,inconnu,L'esprit et la lettre,2008-01-01
UKRAINE,Skovoroda,Le Clézio J.-M. G.,Le Déluge,Gallimard,inconnu,Zhupansky Publishers,2008-01-01
UKRAINE,Skovoroda,Marc Crepon,Alterites de l'Europe,Galilée,inconnu,Le centre ukrainien de la culture spirituelle,2008-01-01
UKRAINE,Skovoroda,Duras Marguerite,Hiroshima mon amour,Gallimard,inconnu,Editions Folio,2008-01-01
UKRAINE,Skovoroda,Paul Eluard,Œuvres choisies,Gallimard,inconnu,Zhupansky Publishers,2008-01-01
