"pays","nom pap","auteur","titre","editeur","type","editeur trad"
"ALGÉRIE","MOHAMMED DIB","CHÉDID ANDRÉE","L’Étrange Mariée","Le Sorbier","Jeunesse","Enap","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHESNOT CHRISTIAN, MALBRUNOT GEORGES & MAJID SAMAN ABDUL","Les Années Saddam","Fayard","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CHEVALLIER DOMINIQUE & MIQUEL ANDRÉ","Les Arabes. Du message à l’histoire","Fayard","Sciences Sociales et Humaines","Marinoor","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COCHOY FRANCK","Une histoire du marketing","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COHEN ÉLIE","Dictionnaire de gestion","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COMBESSIE JEAN-CLAUDE","La Méthode en sociologie","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CORDELLIER SERGE","La Mondialisation au-delà des mythes","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CORDELLIER SERGE","Le Nouvel état du monde","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CORM GEORGES","Le Proche-Orient éclaté II","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","COUSOT PATRICK","Algorithmique et programmation Pascal","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CROCHEMORE JEAN","Menuiserie de la maison","Eyrolles","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CUCHE DENYS","La Notion de culture dans les sciences sociales","La Découverte/Syros","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","CULLMAN HENRI","Comptabilité analytique","PUF","Sciences et Techniques","Bouchène","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DAHMANI AHMED","L’Algérie à l’épreuve","L’Harmattan","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DAYAN ARMAND","Le Marketing","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DEHEUVELS LUC-WILLY","Islam et pensée contemporaine en Algérie. La revue Al-Asâla","CNRS","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELANNOY CLAUDE","Exercices de Turbo Pascal. Maîtrisez DBSE IV","Eyrolles","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELEFOSSE JEAN & VENIEN JACQUES","Gros-Œuvre (tomes II et III)","Eyrolles","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELFAUD PIERRE","Les Théories économiques","PUF","Sciences Sociales et Humaines","Bouchène","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELOYE YVES","La Sociologie historique du politique","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELSOL ROBERT","Techniques numériques","Cépaduès","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELUZURIEUX ALAIN & RAMI MICHEL","Problèmes d’électronique","Eyrolles","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DELUZURIEUX ALAIN & RAMI MICHEL","Problèmes d’électronique avec leurs solutions","Eyrolles","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DENIS PAUL & SCHAEFFER JACQUELINE","Sectes","PUF","Sciences Sociales et Humaines","SARP","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DEUTSCH GEORGES","Chauffage central","Eyrolles","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","Le Coeur insulaire","La Différence","Lettres","Marsa","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","La Grande Maison","Le Seuil","Lettres","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","L’Incendie","Le Seuil","Lettres","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DIB MOHAMED","Le Métier à tisser","Le Seuil","Lettres","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DORNIER ROGER","De l’analyse financière à l’expertise financière","Eyrolles","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DREUX GEORGES & FESTA JEAN","Le Nouveau Guide du béton","Eyrolles","Sciences et Techniques","Chihab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DUBOIS JEAN-PIERRE","La Responsabilité administrative","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DUCHET JEAN-LOUIS","La Phonologie","PUF","Sciences Sociales et Humaines","Afaq","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DUCLOS DENIS & MEYNAUD HÉLÈNE","Les Sondages d’opinion","La Découverte/Syros","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DUFOUR ARNAUD","Internet","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","DURAND DE BOUSINGEN ROBERT","La Relaxation","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","EINAUDI JEAN-LUC","La Bataille de Paris","Le Seuil","Sciences Sociales et Humaines","Média-Plus","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ESCARPIT ROBERT","L’Écrit et la Communication","PUF","Sciences Sociales et Humaines","Bouchène","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ESCARPIT ROBERT","Sociologie de la littérature","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","ESTIVALS ROBERT","La Bibliologie","PUF","Sciences Sociales et Humaines","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","EVENO PATRICK & PLANCHAIS JEAN","La Guerre d’Algérie","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FARRENY HENRI","Systèmes experts","Cépaduès","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FELLAG","Djurdjurassique bled","J.-C. Lattès","Lettres","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FLICHY PATRICE","Une histoire de la communication moderne","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FORAY DOMINIQUE","L’Économie et la Connaissance","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FORREST CHANTAL","J’étais un enfant à Babylone","Le Sorbier","Jeunesse","Enap","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FOUGEREAU MICHEL","L’Immunologie","PUF","Sciences et Techniques","Dahlab","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FOURASTIÉ JEAN & KOVACS ANDRÉ","La Comptabilité","PUF","Sciences et Techniques","Afaq","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","FOURNIOUX LIONEL","Super utilisateur MS Dos","Ellipses","Sciences et Techniques","Berti","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","GACEMI BAYA","Moi, Nadia, femme d’un émir du GIA","Le Seuil","Lettres","L’Époque","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","GALISSOT RENÉ","Les Accords d’Évian en conjoncture et en longue durée","Karthala","Sciences Sociales et Humaines","Casbah","1990-01-01"
"ALGÉRIE","MOHAMMED DIB","GERRIEN BERNARD","Dictionnaire d’analyse économique","La Découverte","Sciences Sociales et Humaines","Casbah","1990-01-01"
