pays,nom pap,auteur,titre,editeur,type,editeur trad,source
ALGÉRIE,Mohammed Dib,BOIA LUCIAN,La Fin du monde,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BONNECHÈRE MICHÈLE,Introduction au droit,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BONNET GÉRARD,Le Remords,PUF,Sciences Sociales et Humaines,SARP,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BONNET HENRI & BERTHET DOMINIQUE,Les Institutions financières internationales,PUF,Sciences Sociales et Humaines,Bouchène,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BOUGNOUX DANIEL,Introduction aux sciences de la communication,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BOUQUIN HENRI,La Comptabilité de gestion,PUF,Sciences et Techniques,Afaq,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BOURDE CHRISTIAN,Les Maladies de la circulation sanguine,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,Bourdieu Pierre ,Sociologie de l’Algérie,PUF,Sciences Sociales et Humaines,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,"BOYER ANDRÉ, HYRIGOYEN GÉRARD & THEPOT JACQUES",Panorama de la gestion,Éd. d’Organisation,Sciences et Techniques,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRAUD PHILIPPE,Sociologie politique,EJA,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRETON PHILIPPE,L’Argumentation dans la communication,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRETON PHILIPPE,Le Culte de l’internet,La Découverte,Sciences et Techniques,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRETON PHILIPPE,L’Utopie de la communication,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRETON PHILIPPE & PROULX SERGE,L’Explosion de la communication,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BRETON PIERRE-HUBERT & SCHOR ARMAND-DENIS,La Dévaluation,PUF,Sciences Sociales et Humaines,Bouchène,1990-2005.pdf
